operation_id,operation_name,location_address,corrected_date,narrative,county,number_descriptions ,technical_assistance,operation_type
286043,KinderCare Learning Center,2526 WALNUT BEND LN  HOUSTON TX- 77042 3013,2/4/16,"Based on information obtained, there is sufficient evidence to support caregivers are using inappropriate long periods of silence or inactivity,humiliating, ridiculing, rejecting, yelling at children, and subjecting children to harsh, abusive, or profane language.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
954528,Little Rascals Child Development Center,2907 N HAMPTON RD  DALLAS TX- 75212 5032,2/4/16,This standard was evaluated with regards to an investigation and based on interviews it was determined to be a violation. A caregiver used thumping as a for of discipline with children in care.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
351132,Compton Head Start,9720 SPAULDING ST  HOUSTON TX- 77016 4841,2/5/17,"A teacher/caregiver in classroom #7 used a prohibited form of punishment with a child, and other children in the classroom.",HARRIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
921497,Childcare Network #195,6637 OAKLAWN DR  WATAUGA TX- 76148 2334,2/8/16,"This rule was evaluated with regard to an investigation, and has been found to be in violation with the Minimum Standard Rules for Licensed Child Care Centers based on observations made at the operation, review of supporting documentation, and interviews with various staff and children.",TARRANT,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
1260409,Engineers of Tomorrow STEM Preschool,1615 N HAMPTON RD STE 240 DESOTO TX- 75115 2332,2/8/17,A child was placed in a dark small room with the door shut for naptime as a form of punishment because he was restless and could wake up the other children,DALLAS,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",NO,Licensed Center
1049248,Creative World School at Centennial,4915 COIT RD  FRISCO TX- 75035 4900,2/10/16,This standard was evaluated in regards to an investigation and was shown deficient.  A caregiver used inappropriate discipline when they slapped a child on the hand.,COLLIN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
140102,Singing Hills Baptist Church Learning Center,6550 UNIVERSITY HILLS BLVD  DALLAS TX- 75241 3607,2/11/16,Based on the interviews conducted dung the investigation it was determined that a caregiver did use inappropriate discipline with children in care. It was determined by the operation to exclude the caregiver effective immediately.,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
340941,Sunshine House,200 LOBO LN  LITTLE ELM TX- 75068 5214,2/12/16,It was determined after the investigation that a caregiver did pinch a child in care which resulted in an injury to his neck.,DENTON,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",NO,Licensed Center
351413,Creme De La Creme,9375 LEGACY DR  FRISCO TX- 75033 6749,2/13/17,"A caregiver was observed in a video pushing children down causing them to fall, pulling a child's hair, and forcefully placing a child on the ground.",DENTON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
351413,Creme De La Creme,9375 LEGACY DR  FRISCO TX- 75033 6749,2/13/17,"
",DENTON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
351413,Creme De La Creme,9375 LEGACY DR  FRISCO TX- 75033 6749,2/13/17,"A caregiver physically abused children in her care when she hit, pushed, shoved and threw children in her care.  The caregiver was terminated as soon as her actions were discovered.",DENTON,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1088992,Metropolitan Christian Academy No 3,401 ROYAL VALLEY RD  GRAND PRAIRIE TX- 75052 6455,2/13/17,"Based on the information gathered during the investigation, it was identified that a caregiver at the operation is using objects to hit the children as a form of punishment.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
95397,Wylie Baptist Church CDC,6097 BUFFALO GAP RD  ABILENE TX- 79606 4905,2/13/17,A caregiver used prohibited punishment to a child in care.,TAYLOR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
100661,ABC  Preschool,13931 SH 31  TYLER TX- 75709,2/14/17,A caregiver admitted to using a large pencil to discipline children.,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
99627,Kinder Care No.864,8787 TIMBER PATH  SAN ANTONIO TX- 78250 4353,2/14/17,During the course of this investigation it was determine that a caregiver pulled a child's hair and arm as a form of discipline in the afterschool room.,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
160527,Sierra Vista Headstart,102 SIERRA VISTA BLVD  LAREDO TX- 78046 7761,2/17/16,Video demonstrated teacher aid did appear harsh and she didn't redirect the student in a positive manner. The teacher and teacher assistant were terminated.,WEBB,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
160527,Sierra Vista Headstart,102 SIERRA VISTA BLVD  LAREDO TX- 78046 7761,2/17/16,A student was inappropriately mishandled by a caregiver. Video does indicate the caregiver restraining the child while the child was having a difficult time calming down. The teaccher and teacher assistant were terminated.,WEBB,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
160527,Sierra Vista Headstart,102 SIERRA VISTA BLVD  LAREDO TX- 78046 7761,2/17/16,Student was inappropriately disciplined as teacher assistant was harsh with her handling of him to force him to sit down. The teacher and teacher assistant were terminated.,WEBB,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
1211729,Hershey's Angels 24/7 Child Care,7630 SANFORD RD  HOUSTON TX- 77071 2111,2/17/17,"Based on information obtained during Investigation, there is sufficient evidence to support the allegation that children are being hit with a hand or stick as a form of discipline.",HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
102874,Claudias Creative Childcare,1301 KENWOOD DR  SAN ANGELO TX- 76903 7261,2/18/16,Based on interviews obtained it was determined that a caregiver spanked a child in care to keep the child from climbing on a shelf in the classroom. There were no injuries noted on the child.,TOM GREEN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
630628,Kids Day Care,301 S RANGERVILLE RD  HARLINGEN TX- 78550 7588,2/19/16,Based on the information obtained one caregiver was hitting a child with the hand to re-direct the behavior.,CAMERON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
265053,Tutor Time Child Care Learning Center,4301 POOL RD  COLLEYVILLE TX- 76034 5021,2/19/16,A caregiver was observed to take a toy from a child harshly and speak with a harsh tone when telling him he couldn't do something.,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1159060,Elite Playcare,2023 PLANTATION DR  CONROE TX- 77301 1028,2/21/17,"Based on information obtained, there is sufficient evidence to conclude that a child was physically neglected while in care a the operation.",MONTGOMERY,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1145234,Sunshine Learning Academy,711 S LOVERS LN  GATESVILLE TX- 76528 2527,2/21/17,It was determined through interviews of staff and children that a child was inappropriately disciplined while in care at the operation.,CORYELL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
983949,Park South YMCA,2500 ROMINE AVE  DALLAS TX- 75215 3755,2/22/16,During naptime the caregiver forced non-sleeping children to stand with their arms out.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
983949,Park South YMCA,2500 ROMINE AVE  DALLAS TX- 75215 3755,2/22/16,"After interviewing children, it was determined that a caregiver hit a child.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
248677,Ratcliffs Learning Center,417 W OHIO AVE  DALLAS TX- 75224 2807,2/22/16,Director was hitting several children on the hand with a pencil,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1133914,"Children's Park North, Inc.",695 W RUSK ST  ROCKWALL TX- 75087,2/22/17,"Based on information obtained, a caregiver used prohibitive methods of discipline to redirect children.",ROCKWALL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
99175,"Happy Days Day Care, Inc.",115 N UNION AVE  NEW BRAUNFELS TX- 78130 4447,2/22/17,A caregiver slapped a child and left a hand print on the right side of the child's face.,COMAL,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
99175,"Happy Days Day Care, Inc.",115 N UNION AVE  NEW BRAUNFELS TX- 78130 4447,2/22/17,The caregiver used a prohibited method of discipline by striking the child with her hand on the right side of the child's face.,COMAL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
773328,"New Horizons School, LLC",3700 RIDGE COUNTRY ST  SAN ANTONIO TX- 78247 3463,2/22/17,"Through information received during the investigation, it was determined that a caregiver popped a child on the hand, held the caregivers hand to the child's mouth to get the child to be quiet, forcefully put a child on a cot, and forcefully put a child in a chair and then held the child down so the child could not move (restraining the child with her arms).  It was also determined the caregiver placed children in time out for longer than 2 minutes.  Children were left in time out for 5 minutes or even up to 20 minutes.  Information received also determined that the caregiver yells aggressively at the children.",BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1111729,Fellowship of Purpose Early Childhood Lrng Ctr,846 ASHLAND BLVD  CHANNELVIEW TX- 77530 2606,2/23/16,"A caregiver left a child on an operation vehicle for 30 minutes, after they forgot to unload the child from the vehicle.",HARRIS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
265053,Tutor Time Child Care Learning Center,4301 POOL RD  COLLEYVILLE TX- 76034 5021,2/24/16,This standard was evaluated as the result of a self report and was found to be deficient.    A caregiver was harsh with a child when trying to get the child from under the climbing structure on the playground.,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
557628,Redeemer's Christian Academy,13406 BEECHNUT ST  HOUSTON TX- 77083 6053,2/25/16,Based on the information obtained a previous employee hit a child on the neck with hand as a form of punishment.,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
923417,SARD Loving Arms Learning Academy,1613 INDEPENDENCE BLVD  MISSOURI CITY TX- 77489 3394,2/25/16,"Based on the information obtained during the investigation, there is sufficient evidence to support the allegation that a child was inappropriately disciplined while in care when a caregiver forcefully grabbed her.",FORT BEND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
369515,Shining Stars Daycare Center,1612 SIMMONS AVE  JOURDANTON TX- 78026 2752,2/25/16,A child in care was critically injured when forcefully struck in the head by a caregiver.,ATASCOSA,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
369515,Shining Stars Daycare Center,1612 SIMMONS AVE  JOURDANTON TX- 78026 2752,2/25/16,"During this investigation it was found that a child in care was Physically Abused, when the child experienced a severe and violent impact to her head, as the result of being forcefully struck by a caregiver.",ATASCOSA,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
94166,Carmelite Learning Center,2006 MARTIN LUTHER KING DR  SAN ANTONIO TX- 78203 2140,2/26/16,Video footage reviewed indicated that a child was inappropriately disciplined while in care at the operation.,BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
573548,Shiloh Road Learning  Center,2101 SHILOH RD  TYLER TX- 75703 2615,2/26/16,This standard was evaluated as part of an investigation and found to be deficient. Several children stated that a caregiver thumps children on the head when they don't follow the rules.,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
95397,Wylie Baptist Church CDC,6097 BUFFALO GAP RD  ABILENE TX- 79606 4905,2/26/16,A child in care was not appropriately supervised by operation staff.,TAYLOR,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
96021,Kiddie Korner Private School,328 W 12TH ST  DALLAS TX- 75208 6501,2/27/17,The caregiver admitted to using harsh tones with the children in her classroom.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
96021,Kiddie Korner Private School,328 W 12TH ST  DALLAS TX- 75208 6501,2/27/17,"Two children stated a caregiver hit their hand as a form of discipline as well as the caregiver admitting she ""taps"" their hand to get their attention when they are not behaving.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
155887,Socorro Gonzales Head Start,2525 LUCAS DR  DALLAS TX- 75219 1804,2/27/17,A caregiver pulled a child by the arm.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
218027,Unity Child Care,827 TURNEY DR  HOUSTON TX- 77038 3921,2/27/17,"Based on information obtained, there is sufficient evidence to conclude that a child was neglectfully supervised while in care at the operation.",HARRIS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1193959,Christian Bible Academy,3222 TEXAS PKWY  MISSOURI CITY TX- 77489 5270,2/28/17,A child was left unattended on a van for approximately 1 hour and 30 minutes.,FORT BEND,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1183925,Alianza Eco International School,12603 LOUETTA RD STE 112 CYPRESS TX- 77429 0001,3/1/17,"Based on the information obtained a caregiver forcefully pulled a child by the right arm from the edge of the carpet, lifted the child up and placed the child near the center of the carpet. The child sustained a small fingernail mark and bruises on the arm.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
360452,Childcare Network #182,1400 CAPLIN DR  ARLINGTON TX- 76018 1235,3/1/17,A caregiver washed a child in a sink of cold water as a result of defecating on themselves.,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
240767,Grace Kidz World Academy #1,14505 GULF FWY  HOUSTON TX- 77034 5360,3/1/17,Operation had an eye withness who stated on paper that a child was hit. However this staff has been terminated.,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
139253,Isaac Camacho Head Start,4102 ELLERTHORPE AVE  EL PASO TX- 79904 4317,3/1/17,A caregiver was determined to have used inappropriate discipline by being verbally disrespectful with children.,EL PASO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
282128,KinderCare,24717 OAKHURST DR  SPRING TX- 77386 1952,3/1/17,"Based on the information obtained during the investigation, through interviews conducted, documents and other information provided there was sufficient evidence to support that inappropriate discipline was used when children were hit with a ruler as a form of discipline.",MONTGOMERY,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1135404,"The Gardner Preparatory School II, LLC",100 N HOUSTON SCHOOL RD  LANCASTER TX- 75146 1906,3/1/17,"Based on information obtained, there is Reason to Believe for Neglectful Supervision.",DALLAS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1135404,"The Gardner Preparatory School II, LLC",100 N HOUSTON SCHOOL RD  LANCASTER TX- 75146 1906,3/1/17,"Based on information obtained, a caregiver used prohibited discipline methods to discipline children in care.",DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",NO,Licensed Center
1135404,"The Gardner Preparatory School II, LLC",100 N HOUSTON SCHOOL RD  LANCASTER TX- 75146 1906,3/1/17,"Based on information obtained, there is reason to believe a child was neglectfully supervised while in care.",DALLAS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
