Injuries1 in CCL Investigations2 Sustained in Day Care Centers and Homes,,,,,,,,,,,,,,,,
"July 01, 2017 - July 31, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operation Type3,Operation Number,Operation Name ,Impact Case ID,Impact Stage ID,Class Investigation ID,CLASS Investigaion Number,Date Intake Received ,Date Investigation Completed,Injury,Injury Related to Abuse/Neglect,Injury Determination,Type of Injury,Other Type of Injury,Injury Caused By,Injury Related To,Incident Location
Licensed Center,1407606,Cuddle Bugs Learning Center,45270027,68898528,1560226,2337228,5/6/2017,6/1/2017,Y,N,Non-Serious,Other,Scratch and bite to forehead,Other,,Child in care at the operation
Licensed Center,816114,In His Steps Preschool,,,1560270,2337477,5/8/2017,7/6/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,828290,Dars Tiny Tots Daycare,45273047,68903747,1560399,2337700,5/8/2017,8/30/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,123156,Montessori Child Development,45274727,68906177,1560476,2337919,5/9/2017,7/3/2017,Y,N,Non-Serious,Burn,Carpet burn,Discipline,Dragged across carpet,Child in care at the operation
Licensed Center,1384509,Sunshine Early Learning Daycare Center,45275563,68909137,1560546,2338086,5/9/2017,6/30/2017,Y,Y,Serious,Contusion,,Other,,Child in care away from the operation
Licensed Center,403468,Creme De La Creme,45277335,68914260,1560667,2338360,5/10/2017,6/8/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,519018,Living Word Christian Day Care,,,1560594,2338205,5/10/2017,6/29/2017,Y,N,Non-Serious,Other,Landed on wrist when fel,Self-Inflicted,Bumped heads with another child resulting in a fall,Child in care at the operation
Licensed Center,542053,Lifes Little Blessings,,,1560554,2338101,5/10/2017,7/7/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,99,Cliff Temple Child Development,,,1560763,2338222,5/10/2017,7/7/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1510446,Shining Stars Daycare & Academy,45278253,68916632,1560736,2338528,5/11/2017,6/29/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,401371,Dallas Day School,45281278,68925710,1560960,2338862,5/12/2017,6/10/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,502279,Keller Montessori School,45284282,68930410,1561083,2339536,5/15/2017,6/13/2017,Y,Y,Serious,Fracture,,Restraint and Seclusion,Grabbing and twisting arrm,Child in care at the operation
Licensed Center,516408,Trinity Lutheran Early Childhood Center,,,1561017,2339435,5/15/2017,7/12/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,416590,The Yellow School,45286190,68935066,1561127,2339788,5/16/2017,8/3/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,416590,The Yellow School,45286190,68935066,1561127,2339788,5/16/2017,8/3/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,416590,The Yellow School,45286190,68935066,1561127,2339788,5/16/2017,8/3/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,416590,The Yellow School,45286190,68935066,1561127,2339788,5/16/2017,8/3/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,416590,The Yellow School,45286190,68935066,1561127,2339788,5/16/2017,8/3/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,416590,The Yellow School,45286190,68935066,1561127,2339788,5/16/2017,8/3/2017,Y,N,Serious,Burn,,Other,,Child in care at the operation
Licensed Center,895672,Happy Kid's Learning Center,,,1561240,2339616,5/16/2017,7/14/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1018646,St Thomas Aquinas Church/Aquinas Early Childhood Center,45287736,68937640,1561198,2339993,5/17/2017,6/15/2017,Y,N,Non-Serious,Other,Skin Irratation,Other,,Child in care at the operation
Licensed Center,10290,Oak Lawn United Methodist Day School,,0,1561153,2339863,5/17/2017,7/13/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1376826-1026,11th Street Child Development Center,,0,1561215,2339938,5/17/2017,7/12/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care away from the operation
Licensed Center,1633613-668,Y School Age @ Woodlawn Hills,,,1561156,2339806,5/17/2017,7/14/2017,Y,N,Non-Serious,Other,sprain,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,523985-1427,YMCA-Forest Creek,,,1561211,2340007,5/17/2017,7/14/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,527203,Cambridge Academy,45288738,68940354,1561336,2340081,5/17/2017,6/15/2017,Y,Y,Non-Serious,Other,unexplained bruises,Restraint and Seclusion,grabbed arm and pulled back. ,Child in care at the operation
Licensed Center,893798,"Cadence Academy, Flower Mound",45288607,68940375,1561256,2340082,5/17/2017,6/15/2017,Y,Y,Non-Serious,Other,Bruising,Discipline,Child Was grabbed by AP,Child in care at the operation
Licensed Center,905017,Grace Crossing Academy,,,1561207,2339935,5/17/2017,7/14/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,plastic bin in block center,Child in care at the operation
Licensed Center,1578676,Christian Learning Center Plano,,0,1561435,2340418,5/18/2017,7/16/2017,Y,N,Non-Serious,Other,Right arm pulled out of socket,Other,,Child in care at the operation
Licensed Center,1633613-668,Y School Age @ Woodlawn Hills,,,1561619,2340220,5/18/2017,7/14/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,Gym floor,Child in care at the operation
Licensed Center,511878-2589,Abram Headstart & Child Development Center,,,1561409,2340390,5/18/2017,7/10/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,Running and tripped on playground,Child in care at the operation
Licensed Center,523880-1967,Stepping Stone School VIII,,,1561416,2340408,5/18/2017,7/14/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,134526,Pilgrim Lutheran,,,1561598,2340603,5/19/2017,7/17/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,1500483,Bambini Learning Institute,,,1561587,2340565,5/19/2017,7/11/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1591997,Primrose School of Atascocita,,,1561477,2340589,5/19/2017,7/17/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,841400,Union Christian Academy,45292457,68952926,1561563,2340660,5/19/2017,6/18/2017,Y,Y,Non-Serious,Contusion,,Discipline,,Child in care at the operation
Licensed Center,1635995,Fifth Street Head Start,45293016,68953797,1561580,2340816,5/20/2017,6/18/2017,Y,N,Non-Serious,Other,red mark,Other,,Child in care at the operation
Licensed Center,303843,Care Child Development Center,,,1561838,2341000,5/22/2017,7/20/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,543283,St. Laurence Weekday Children's Program,45294870,68955705,1561654,2341055,5/22/2017,7/23/2017,Y,Y,Serious,Burn,,Other,,Child in care at the operation
Licensed Center,845303,Primrose School of Hall Johnson,,,1561707,2341108,5/22/2017,7/10/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,863498,Central Faith Child Development Center Inc,,0,1561582,2340844,5/22/2017,7/17/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1538523,High Hopes Sports & Afterschool,,0,1561916,2341607,5/23/2017,7/18/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1629051,Primrose School of Pflugerville at Falcon Pointe,,0,1561913,2341567,5/23/2017,7/21/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,"Slipped, split lip and chipped tooth.",Child in care at the operation
Licensed Center,552246,Wee School-First Baptist Church,,,1561901,2341451,5/23/2017,7/18/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,Wall in Gym ,Child in care at the operation
Licensed Center,1320526,The Learning Express Station #3,45298326,68964049,1561898,2341523,5/24/2017,7/26/2017,Y,Y,Non-Serious,Other,A big red bruise was on the childs back . ,Outdoor Equipment/Structure,Being hit by a ball,Child in care at the operation
Licensed Center,1633022,Playskool Childcare and Learning Center LLC,45299276,68966450,1561973,2341750,5/24/2017,6/20/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,863044,Faith Academy,45298395,68964090,1562048,2341524,5/24/2017,6/29/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,874059,Little Roos Preschool Academy,,0,1561937,2341705,5/24/2017,7/14/2017,Y,N,Non-Serious,Other,Child was pushed and got a  bump on back of  head.,Other,,Child in care at the operation
Licensed Center,1053106,Guardian Angel Child Development Center,45300418,68969475,1562037,2341860,5/25/2017,7/6/2017,Y,N,Non-Serious,Other,Bruise,Other,,Child in care at the operation
Licensed Center,1115666,Jerry's Mother Goose,,0,1562139,2342028,5/25/2017,7/10/2017,Y,N,Serious,Other,Seizure,Other,,Child in care at the operation
Licensed Center,128868,Kinder Care Learning Center #370,,,1562100,2342001,5/25/2017,7/3/2017,Y,N,Non-Serious,Other,hit his head,Indoor Equipment/Structure,Child fell backwards hitting diaper changing rails,Child in care at the operation
Licensed Center,1576622,Kidz Zone Playcare,,0,1562106,2342010,5/25/2017,7/17/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1635743,The Foshee Family House of Tiny Treasures,,,1562092,2341912,5/25/2017,7/21/2017,Y,N,Non-Serious,Laceration,,Tools/Equipment,2-hole punch,Child in care at the operation
Licensed Center,416406-1030,San Angelo YMCA Bonham Branch,,,1562178,2342026,5/25/2017,7/13/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,fell on slab of concrete,Child in care at the operation
Licensed Center,541926,BO PEEP DAY CARE,,,1562066,2341849,5/25/2017,7/18/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1102686,First Baptist Academy,,,1562367,2342265,5/26/2017,7/24/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1487686,Playing For Keeps Early Childhood Center,45302948,68975439,1562194,2342212,5/26/2017,6/29/2017,Y,N,Non-Serious,Other,scratches/minor bruise,Other,,Child in care at the operation
Licensed Center,406029,Wee Care Child Center,,,1562331,2342483,5/26/2017,7/24/2017,Y,N,Non-Serious,Other,superficial cut,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,547299,Bright Horizons Family Center,,0,1562222,2342279,5/26/2017,7/23/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,fall,Child in care at the operation
Licensed Center,5910-667,Mary Miles Learning Center,,0,1562196,2342220,5/26/2017,7/21/2017,Y,N,Non-Serious,Other,bump on head,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,853248-1130,Childtime Learning Center,,,1562151,2342112,5/26/2017,7/20/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,876106,Cornerstone School Allen,,0,1562225,2342289,5/26/2017,7/14/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,827375,The Happy Tree CDC,45304075,68983703,1562368,2342403,5/27/2017,6/25/2017,Y,N,Non-Serious,Other,Carpet Burn,Other,,Child in care at the operation
Licensed Center,1496988,"Blessings From Above Child Care Centers, LLC",45304947,0,1562332,2342421,5/28/2017,6/26/2017,Y,N,Non-Serious,Other,Scratch on chin,Other,,Child in care at the operation
Licensed Center,1099386-5211,"Avance Inc., Tegeler Early Head Start",,,1562529,2343320,5/31/2017,7/29/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1411482,Little Childrens Learning Center,45309033,,1562527,2343326,5/31/2017,7/28/2017,Y,N,Non-Serious,Other,mosquito bites,Other,,Child in care away from the operation
Licensed Center,1647893,Noah's Ark Daycare,45307894,68988660,1562487,2343105,5/31/2017,6/27/2017,Y,N,Non-Serious,Other,minor injuries,Other,,Child in care at the operation
Licensed Center,847683,Lake Highlands Presbyterian CDC,45309440,,1562633,2343343,5/31/2017,7/28/2017,Y,N,Non-Serious,Other,Cut on head,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1198429-4070,Raul Yzaguirre Head Start Child Development Center,,,1562604,2343547,6/1/2017,7/27/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1226487,Childrens Garden Montessori Academy at Frisco,,,1562568,2343458,6/1/2017,7/20/2017,Y,N,Non-Serious,Other,Hairline fracture,Indoor Equipment/Structure,Floor,Child in care at the operation
Licensed Center,1305446,The Learning Journey Day School,,0,1562780,2343535,6/1/2017,7/17/2017,Y,N,Non-Serious,Other,scratches,Discipline,,Child in care at the operation
Licensed Center,1540441,College Station ISD Summer Day Camp at Creek View,,,1562608,2343552,6/1/2017,7/18/2017,Y,N,Non-Serious,Fracture,,Self-Inflicted,Play,Child in care at the operation
Licensed Center,1558029,William Cannon Child Development Center Child Incorporated,,0,1562591,2343530,6/1/2017,7/25/2017,Y,N,Non-Serious,Other,nursemaid elbow,Other,,Child in care at the operation
Licensed Center,1631902,Victoria Christian School,45310228,68996173,1562611,2343483,6/1/2017,7/28/2017,Y,N,Non-Serious,Contusion,scartches,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,816084,Kids R Kids #25,,,1562671,2343541,6/1/2017,7/20/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,862851,Sunrise Early Learning And Development Center,45310215,68993955,1562581,2343439,6/1/2017,6/30/2017,Y,Y,Serious,Other,nail marks in skin,Other,,Child in care at the operation
Licensed Center,8683,Christ Lutheran Child Development Center,,,1562587,2343467,6/1/2017,7/25/2017,Y,N,Non-Serious,Fracture,Nurse Maid Elbow,Other,,Child in care at the operation
Licensed Center,1222407,Oakdale Private School,,,1562690,2343665,6/2/2017,7/18/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,134526,Pilgrim Lutheran,,,1562693,2343693,6/2/2017,7/20/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,1360687,Children's Lighthouse at WoodCreek,,0,1562697,2343718,6/2/2017,7/31/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1586777,Wonderland Daycare Center,,0,1562683,2343708,6/2/2017,7/31/2017,Y,N,Non-Serious,Other,Scratch,Other,,Child in care at the operation
Licensed Center,851287,University of Texas Child Development Center,,,1562685,2343726,6/2/2017,7/31/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1624981,Kids Kampus Vicksburg,45312963,69004198,1562788,2343761,6/3/2017,6/30/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,1627657,Busy Bee Academy,45313800,69004264,1562786,2343821,6/4/2017,7/2/2017,Y,N,Non-Serious,Other,open sores bleeding due to diaper rash,Other,,Child in care at the operation
Licensed Center,1366547,Super Kids Academy,45315437,69008073,1562866,2344258,6/5/2017,7/3/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,Toy,Child in care at the operation
Licensed Center,1513767,Childrens Lighthouse,,0,1562844,2343935,6/5/2017,7/3/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1545192,Children's Learning Adventure Child Care Center,,,1562846,2344037,6/5/2017,8/1/2017,Y,N,Non-Serious,Other,Fell on rt wrist,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,60428,Toddler House 5,,,1562836,2343936,6/5/2017,7/3/2017,Y,N,Non-Serious,Other,nurse mate elbow,Other,,Child in care at the operation
Licensed Center,516059-1027,YMCA Central,,0,1562984,2344465,6/6/2017,8/2/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,door,Child in care at the operation
Licensed Center,867683,Rainbow Child Development Center,45316210,69009142,1562893,2344364,6/6/2017,7/5/2017,Y,Y,Non-Serious,Other,scratch marks on forearm,Discipline,grabbed a child's arm,Child in care at the operation
Licensed Center,1011906,Small Miracles Academy West Plano Campus,,,1563091,2344689,6/7/2017,8/1/2017,Y,N,Non-Serious,Other,Split/cut chin,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1617125,The Play by Bright Horizons,,0,1563039,2344672,6/7/2017,8/2/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1624077,Future Stars Academy,45318909,69017832,1563117,2344844,6/7/2017,7/5/2017,Y,N,Non-Serious,Other,scratch,Indoor Equipment/Structure,toys,Child in care at the operation
Licensed Center,502615,St Bartholomews Episcopal Academy,,0,1563050,2344682,6/7/2017,8/3/2017,Y,N,Serious,Fracture,,Self-Inflicted,tripped over his own  feet ,Child in care at the operation
Licensed Center,849931,Doris Miller Family YMCA Child Care,,0,1563046,2344685,6/7/2017,7/20/2017,Y,N,Non-Serious,Other,Ankle injury,Self-Inflicted,Running,Child in care at the operation
Licensed Center,1548182,First Step Holdings Inc. dba Discovery Schoolhouse,,0,1563124,2344847,6/8/2017,7/6/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1552526,Grace Academy Learning Center,45320797,69020893,1563186,2345005,6/8/2017,7/7/2017,Y,N,Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,1559502,Creative Care Children's School-Wharton,,,1563191,2344928,6/8/2017,7/25/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care away from the operation
Licensed Center,1643792,Thrive Early Learning Academy,,,1563119,2344794,6/8/2017,7/6/2017,Y,Y,Serious,Burn,,Outdoor Equipment/Structure,Water Trough,Child in care at the operation
Licensed Center,514525,Country Campus INC,45319553,69017848,1563118,2344804,6/8/2017,7/6/2017,Y,N,Non-Serious,Other,Sprain wrist/arm,Discipline,Grabbing Arm,Child in care at the operation
Licensed Center,547299,Bright Horizons Family Center,,0,1563130,2344861,6/8/2017,8/4/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,859502,Tree House Kids,,,1563154,2344912,6/8/2017,8/4/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,Fall,Child in care away from the operation
Licensed Center,137593,My Friends House,,0,1563218,2345104,6/9/2017,7/20/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1545908,Lil Kidz Academy,0,0,1563198,2345014,6/9/2017,7/6/2017,Y,N,Non-Serious,Other,swallowed thumb tack,Other,,Child in care at the operation
Licensed Center,1574345,Austin Eco Bilingual School,45321583,69022659,1563217,2345106,6/9/2017,7/7/2017,Y,Y,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,1630708,Childrens Learning Adventure Childcare Center,,0,1563203,2345034,6/9/2017,8/7/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,Fall,Child in care at the operation
Licensed Center,309582-747,Kinder Care #1246 Greenway,,,1563210,2345051,6/9/2017,7/14/2017,Y,N,Serious,Laceration,,Indoor Equipment/Structure,border,Child in care at the operation
Licensed Center,885294,Westover Hills Learning Center,45322570,69024819,1563258,2345231,6/9/2017,7/14/2017,Y,N,Serious,Fracture,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1627276,Small Miracles Academy-Mesquite Campus,45323707,69027992,1563299,2345279,6/11/2017,8/14/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,1638752,Little Steps Learning Center,45323806,,1563394,2345296,6/11/2017,7/10/2017,Y,N,Non-Serious,Other,Restraint with tape,Restraint and Seclusion,,Child in care at the operation
Licensed Center,1534236,Daily Bread Christian Learning Center,,0,1563363,2345815,6/12/2017,8/10/2017,Y,N,Non-Serious,Other,sores,Other,,Child in care at the operation
Licensed Center,1579821,Pebblecreek Montessori,,0,1563488,2345800,6/12/2017,7/24/2017,Y,N,Non-Serious,Other,sprain,Other,,Child in care at the operation
Licensed Center,1643792,Thrive Early Learning Academy,45324230,69029385,1563341,2345670,6/12/2017,7/18/2017,Y,N,Serious,Burn,,Outdoor Equipment/Structure,Water trough,Child in care at the operation
Licensed Center,541518-5031,YMCA Youth Center,,0,1563365,2345820,6/12/2017,7/21/2017,Y,N,Non-Serious,Other,finger ,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,554870,Oakwood Academy,45325380,69032331,1563379,2345846,6/12/2017,7/11/2017,Y,Y,Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,813204,First Step Learning Center,45325304,69032329,1563378,2345845,6/12/2017,7/10/2017,Y,N,Non-Serious,Burn,Friction Burn to Hand,Other,,Child in care at the operation
Licensed Center,893798,"Cadence Academy, Flower Mound",45324176,69028759,1563338,2345618,6/12/2017,8/14/2017,Y,N,Non-Serious,Other,Nurse maid elbow,Other,,Child in care at the operation
Licensed Center,1079806,Magical Moments Daycare Center,45326347,69034263,1563396,2345943,6/13/2017,8/10/2017,Y,N,Non-Serious,Other,subdural hematoma,Other,,Child in care at the operation
Licensed Center,1539830,Sunshine Learning Academy,,,1563388,2345926,6/13/2017,7/19/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1540827,Lil Hadens Playhouse & Learning Center Too,45326157,69036720,1563541,2345946,6/13/2017,7/12/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1571457,New Cyfair Kids Academy,,,1563391,2345930,6/13/2017,8/11/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,Globe,Child in care at the operation
Licensed Center,1606498,YMCA @ Geneva Heights,,,1563549,2346341,6/13/2017,7/24/2017,Y,N,Non-Serious,Other,Sprained foot,Outdoor Equipment/Structure,Fell while playing outside,Child in care at the operation
Licensed Center,164388,Little Angels,,0,1563431,2346011,6/13/2017,7/5/2017,Y,N,Non-Serious,Other,Nurse maid elbow,Discipline,Teacher pulled child's are to go to time out,Child in care at the operation
Licensed Center,247848,Hope Lutheran School,,,1563408,2346015,6/13/2017,7/14/2017,Y,N,Non-Serious,Other,Sprain ankle,Indoor Equipment/Structure,Jumpin Jungle,Child in care away from the operation
Licensed Center,819924,St John Lutheran Early Childhood Center,,,1563387,2345923,6/13/2017,7/14/2017,Y,N,Non-Serious,Other,Busted Lip,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,839909,Crosby Christian Academy,,,1563393,2345932,6/13/2017,7/28/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,841212,New Life Community Christian School,45326563,,1563402,2345978,6/13/2017,7/7/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,877446,The Remnant Academy,,,1563399,2345960,6/13/2017,7/25/2017,Y,N,Non-Serious,Laceration,,Water Activities,Splash Pad,Child in care at the operation
Licensed Center,881266,Nite-Owl Child Care Centers,,,1563479,2345848,6/13/2017,8/7/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,113115-684,La Petite Academy-Forest Hill,45328832,69040958,1563499,2346211,6/14/2017,7/13/2017,Y,Y,Non-Serious,Other,bruise on stomach,Discipline,pinch,Child in care at the operation
Licensed Center,1415886,Sweet Home Christian Institute,45329012,0,1563517,2346272,6/14/2017,7/13/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1511705,Blue Bird Kids Academy,,,1563589,2346146,6/14/2017,7/13/2017,Y,N,Serious,Mouth/Eye/Ear,The child swallowed a rock/could not breathe.,Outdoor Equipment/Structure,pea gravel,Child in care at the operation
Licensed Center,1514569,"Carrusel Daycare Center, Inc",,0,1563550,2346069,6/14/2017,8/11/2017,Y,N,Serious,Fracture,,Indoor Equipment/Structure,door,Child in care at the operation
