STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
748.103(a)(9) - Permit holder responsibilities-Maintain liability insurance as required by HRC 42.049,0,1,0,0,False
"748.103(a)(8) - Permit holder responsibilities-Not offer different services that conflict with needs of child in care, caregiver's responsibilities, operation space",0,0,1,0,False
"748.103(a)(4) - Permit holder responsibilities-Ensure all required documentation is current, accurate, and complete",0,2,11,0,False
748.103(a)(1) - Permit holder responsibilities-Designate a qualified full-time child-care administrator,0,0,2,0,False
748.1101(a) - Children's rights-A child's rights are cumulative of any other rights granted by law or other Licensing rules,0,0,2,0,False
748.1101(b)(5)(F) - Children's rights-Adhere to the child's rights to be free from being subjected to remarks that belittle or ridicule the child or the child's family,0,3,14,0,False
748.1101(b)(5)(G) - Children's rights-Adhere to the child's rights to be free from being threatened with the loss of placement or shelter as punishment,0,0,1,0,False
748.1101(b)(6) - Children's rights-Adhere to the child's right to discipline that is appropriate to the child's age and developmental level;,0,0,1,0,False
748.1219(2)(A)(i) - Treatment Services Admission-MR: Psychologist with experience with MR or published scales must determine child's level of adaptive functioning,0,0,1,0,False
"748.1217(c)(7) - Admission Assessment-Prior to initial service plan, add child's history of other placements (admission and discharge dates, reasons for placement)",0,1,0,0,False
"748.1217(c)(6) - Admission Assessment-Prior to initial service plan, add child's school history",0,0,1,0,False
"748.1217(c)(14) - Admission Assessment-Prior to initial service plan, add determination of whether operation can meet child's needs",0,0,1,0,False
"748.1217(c)(1) - Admission Assessment-Prior to initial service plan, add child's social history",0,0,1,0,False
"748.1217(b)(2) - Admission Assessment-At admission, must include description of circumstances that led to child's referral for substitute care",0,0,1,0,False
"748.1217(b)(16) - Admission Assessment-At admission, must include rationale for the appropriateness of the admission",0,0,1,0,False
"748.1217(b)(15) - Admission Assessment-At admission, must include determination of whether operation can meet immediate needs of child",0,1,0,0,False
"748.1217(b)(11) - Admission Assessment-At admission, must include services the operation plans to provide to the child",0,0,1,0,False
748.1211(b)(2)(B) - Parent Orientation-Must review & provide written materials on type & frequency of notifications made to parents,0,0,1,0,False
"748.1209(b)(1) - Child Orientation-Include policies on visitation, including family visitation & overnight visitation",0,0,2,0,False
748.1207(3) - Placement agreement-Must include the reason for placement & anticipated length of time in care,0,0,4,0,False
748.1207(2) - Placement agreement-Must include a medical consent form signed by a person legally authorized by Texas Family Code to provide consent,0,0,1,0,False
748.1205(a)(8) - Admission Documentation-Includes child's immunization record,0,1,0,0,False
748.1205(a)(6) - Admission Documentation-Includes date of admission,0,0,1,0,False
"748.1205(a)(5) - Admission Documentation-Includes names, addresses, telephone numbers of siblings",0,0,1,0,False
"748.1205(a)(4) - Admission Documentation-Includes names, addresses, telephone numbers of biological or adoptive parents, unless parental rights terminated",0,0,1,0,False
748.1205(a)(13) - Admission Documentation-Identification of child's high risk behaviors and related safety plan staff and caregivers will implement,0,0,4,0,False
748.1205(a)(11) - Admission Documentation-Includes known contraindications to the use of restraint,0,0,5,0,False
"748.1205(a)(1) - Admission Documentation-Includes child's name, gender, race, religion, date of birth, birthplace",0,0,1,0,False
748.1119(3) - Children's Rights prohibited techniques-Prohibited from using pressure points on a child,0,0,1,0,False
748.1113(e) - Child Rights Searches-Second caregiver must witness a search that involves the removal of clothing,0,0,2,0,False
"748.1111(a)(2) - Child Rights contact others-Not listen to or screen child's calls without permission from parents, service planning team, treatment director, or PLSP",0,0,1,0,False
748.1107(e) - Child Rights parent contact-Discuss with parent and child practical reasons for limiting communication or visits; document in the record,0,0,1,0,False
748.1107(d)(1) - Child Rights parent contact-Professional level service provider explain reasons for continued restrictions for more than 30 days to child and parents,0,0,1,0,False
"748.1105(2) - Personal Care-Child has appropriate equipment and supplies for personal care, hygiene, and grooming",0,2,2,0,False
748.1105(1) - Personal Care-Child has reasonable opportunities to select his clothing as outlined in the operation's policies,0,0,1,0,False
"748.1017(a) - Child/caregiver ratio-Child/caregiver ratio applies to activities conducted by the operation, that occur away from the operation",0,0,1,0,False
748.1225(c) - Admission-Report and findings of dental exam must be documented in child's record,0,0,1,0,False
748.1013(a) - Child/caregiver ratio-A caregiver must be awake when caring for a child needing constant supervision,0,0,1,0,False
"748.1009(b)(1) - Child/caregiver ratio-If operation provides treatment services, staffing plan includes enough caregivers for 24-hr & one-on-one supervision",0,1,0,0,False
747.4815 - Safety Requirements for Sprinkler Play,0,0,1,0,False
747.4711 - Installation of Unitary Surfacing Materials,0,1,0,0,False
"747.4615(a)(3) - Use Zones - Licensed Before September 1, 2003 - Swings",0,0,1,0,False
747.4613(b) - Measurement of Use Zone for Rotating and Rocking Equipment (Standing or Riding),0,1,0,0,False
747.4613(a) - Measurement of Use Zone for Rotating and Rocking Equipment (Sitting),0,0,1,0,False
747.4605(c) - Measurement of Use Zone for Slides - Greater than Six Feet Exit of Slide,0,0,1,0,False
747.4505(3) - Requirements for Tire Swings - Have Drainage Holes,0,1,2,0,False
747.4503 - Requirements for Bucket Swings,0,1,2,0,False
747.4501(b) - Requirements for Swings - Edges Smooth or Rounded with No Protrusions,0,0,1,0,False
"747.4501(a) - Requirements for Swings - Seats of Durable, Lightweight, Rubber or Plastic",0,1,2,0,False
747.4405(a)(1) - Equipment Prohibited for Younger Than 5 Yrs -Free Standing Arch Climbers,0,1,0,0,False
747.4403(1) - Prohibited Equipment - Heavy Swings,0,0,1,0,False
747.5003(1) - Emergency Preparedness Plan - Evacuation Procedures,25,149,115,0,False
747.4401(6) - Active Play Equipment - Anchoring devices Below Level of Playing Surface,1,0,0,0,False
"747.4309(b) - Lofts- If Used as Active Play, must comply with minimum standards for Indoor/Outdoor Active Play Space.",0,1,0,0,False
747.4303(a)(1) - Individual Crib for Each Infant,4,0,0,0,False
"747.4301 - Tables and Chairs Safe, Easy to Clean and Appropriate in Size",0,1,1,0,False
747.4211(2)(A) - Doors to Restroom -Unlocking Mechanism Accessible to Employees,0,0,1,0,False
"747.4209 - Toilets, Sinks and Fountains Used Safely and Independently",0,0,1,0,False
747.4203(c) - Handwashing Sink Used Safely and Independently,0,1,0,0,False
747.4201 - Handwashing Sinks and Toilets,0,1,1,0,False
747.4115(1) - Outdoor Activity Space Not Connected To Center - Notify Parents,0,1,0,0,False
747.403(b) - Telephone Numbers Posted - By Each Phone,2,1,2,0,False
747.401(6) - Posting Requirements - Licensing Notices,1,2,5,0,False
747.401(5) - Posting Requirements - List of Employees,3,5,13,0,False
747.4007 - Under 18 Months of Age Close Enough for Interaction and Intervention,0,1,0,0,False
747.4401(2) - Active Play Equipment - Appropriate for Ages of Children,1,0,0,0,False
747.5003(3) - Emergency Preparedness Plan - Essential Documentation,7,16,20,0,False
747.501 - Written Operational Policies,7,0,0,0,False
747.5103(b) - Fire Extinguisher Types - Previously Registered - 40BC,2,1,0,0,False
748.1009(a)(1) - Child/caregiver ratio-Must employ an adequate number of caregivers to meet child/caregiver ratios,0,0,1,0,False
748.1009(a) - Child/caregiver ratio-Must employ an adequate number of caregivers to meet children's needs and consider amount of supervision needed,0,1,4,0,False
748.1007(b)(2) - Child/caregiver ratio-Awake caregiver may care for 24 children if no child in group requires treatment services,0,0,2,0,False
747.917(3) - Electronic Records-available during business hours,0,0,1,0,False
747.803(b) - Records Storage - Training Records,1,0,2,0,False
747.803(a) - Records Storage,0,0,1,0,False
747.801(6) - Records Maintained and Made Available - Medication Records,0,0,1,0,False
747.801(13) - Records Maintained and Made Available - Approval for Above/Below Ground Level Care,0,0,1,0,False
747.701(2) - Licensing Incident/Illness Report Form - Situations Placing Children at Risk,0,5,2,0,False
747.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,0,3,3,0,False
747.625 - Immunization Records for School-age,0,2,0,0,False
747.621 - Provisional Enrollment,0,0,1,0,False
747.609(b) - Update Admission Information - Parent Sign and Date,1,3,3,0,False
747.605(5) - Required Admission Information - Parents' Phone Numbers,3,2,7,0,False
747.603(a)(7) - Children's Records - Incident/Illness Form,2,4,2,0,False
747.5409(b) - All Adult Passengers Wear Safety Belts,0,1,0,0,False
747.5407(d)(3) - Safety Seat System -  12 Months Through 3 Yrs; More Than 20 lbs,0,3,1,0,False
747.5405(4) - Safety Precautions for Loading and Unloading Children -No Child Unattended,0,2,1,0,False
747.5403(c) - Types of Vehicles Used to Transport Children - Be Maintained Safely,0,0,2,0,False
747.5337(b)(4) - CO Detection System Connected to Alarm or Smoke Detection System- Corrections Called for in Report are Made,0,1,0,0,False
"747.5337(b)(3) - CO Detection System Connected to Alarm or Smoke Detection System- Test Documentation Includes Inspector's Name, Test Date, Phone Number",0,2,0,0,False
747.5337(a)(4) - Electric or Battery Operated CO System-Test Documentation Available During Hours of Operation,0,0,4,0,False
747.5335(b) - CO Detection System Connected to Alarm or Smoke Detection System- Installed According to State or Local Fire Marshal's Instructions,0,1,0,0,False
747.5333(2) - CO Detection System Type-Electronic Connected to (UL) Listed Alarm/Smoke Detection System,0,1,0,0,False
"747.5301(g) - Heating Devices Safe - Fireplace, Wood-burning Stove, Space Heater",0,2,2,0,False
747.5301(f) - Heating Devices Safe - Properly Vented,0,0,1,0,False
747.5201 - Requirement of Gas Leak Inspection If Required By Local Ordinance,0,0,1,0,False
"748.101(3) - Permit holder responsibilities-Establish governing body that is responsible for, and has authority over, the operation's policies and activities",0,0,1,0,False
748.1301(a)(1) - Education-Ensure child attends approved/accredited educational facility or program,0,0,1,0,False
748.131(a)(4) - Governing body responsibilities-Complying with the law and rules,0,0,1,0,False
748.131(a)(5) - Governing body responsibilities-Ensuring that certain persons do not comprise a majority of the voting members of the governing body,0,0,1,0,False
748.2451(a)(1) - Emergency Behavior Intervention-Use short personal restraint only If policies permit and requirements of this subchapter are met,0,0,2,0,False
748.239(1) - Volunteer policies-Include volunteer job descriptions and/or responsibilities,0,0,1,0,False
748.237(5)(C) - Behavior intervention policies-Include obtaining child's input during orientation on preferred de-escalation,0,1,4,0,False
"748.237(5)(B) - Behavior intervention policies-Include how, during orientation, facility will explain policies to a child in a manner the child can understand",0,0,2,0,False
748.237(1) - Behavior intervention policies-Include a complete description of emergency behavior interventions that caregivers are permitted to use,0,0,1,0,False
748.233(3) - Admission policies-Include the genders and age range of the population served,0,0,1,0,False
748.233(1) - Admission policies-Include the program's goals and services provided; specify if program accepts emergency admissions,0,0,1,0,False
"748.231(e) - General operational policies-All policies must be available for review by Licensing and facility clients, upon request",0,0,1,0,False
748.231(d) - General operational policies-Employees must be aware of and follow policies and procedures and have a copy at the operation for their review,0,1,9,0,False
748.2307(5) - Other Prohibited Punishments-maintaining an uncomfortable physical position,0,0,1,0,False
748.2307(13) - Other Prohibited Punishments-denying basic child rights as discipline or punishment,0,0,1,0,False
748.2301(b)(1) - Disciplinary Measures-must be consistent with operation policies and procedures,0,0,1,0,False
748.2451(a)(2) - Emergency Behavior Intervention-Use personal restraint only if policies permit and requirements of this subchapter are met,0,0,2,0,False
748.2253(c) - Operation employs professional who prescribes psychotropic meds-Medical consenter must sign consent form acknowledging info provided,0,1,1,0,False
748.2203(c) - Medication Error-Operation must meet documentation requirements within 24 hrs,0,0,1,0,False
748.2151(b)(7) - Medication Records-Must include the child's refusal to accept medication,0,1,2,0,False
748.2151(b)(2) - Medication Record-Must include prescribing health-care professional's name,0,0,1,0,False
748.2151(b)(1) - Medication Record-Must include child's full name,0,0,1,0,False
748.2151(a)(5) - Medication Record-Must include name & signature of person who administered each medication,0,0,1,0,False
748.2101(9) - Medication Storage & Destruction-Remove medication of discharged/deceased child immediately & destroy in way that ensures children do not have access,0,0,1,0,False
748.2101(8) - Medication Storage & Destruction-Remove medication on/before the expiration date & destroy it in a way that ensures children do not have access,0,0,7,0,False
748.2101(7) - Medication Storage & Destruction-Remove discontinued medication immediately & destroy it in a way that ensures children do not have access to it,0,0,1,0,False
748.2101(6) - Medication Storage-Keep medication storage area(s) clean & orderly,0,0,1,0,False
748.2003(b)(6) - Administration of Medication-Ensure a person trained in & authorized to administer prescription medication administers the medication,0,2,1,0,False
748.2003(b)(3) - Administration of Medication-Administer medications according to label instructions or a prescribing health-care professional's subsequent orders,0,3,10,0,False
748.2003(b)(11) - Administration of Medication-Only the child for whom the prescription medication was prescribed may use the medication,0,0,1,0,False
748.2203(c)(1) - Medication Error-Document the time & date of the error,0,0,1,0,False
748.2451(a)(3) - Emergency Behavior Intervention-Use emergency medication only if policies permit and requirements of this subchapter are met,0,0,1,0,False
748.2451(a)(4)(A) - Seclusion-Only for child with ED or PDD when 25+ children with ED or PDD or >30% of children with ED or PDD; not allowed for child in therapeutic camp,0,0,1,0,False
"748.2453 - Emergency Behavior Intervention-Only a qualified caregiver may administer emergency behavior intervention, except short personal restraint",0,1,5,0,False
748.3007 - Sanitizing Practices-Must sanitize any item or surface that comes in contact with bodily fluids & has possibility for cross contamination,0,0,1,0,False
748.3003 - Sanitation Inspection-Must keep most recent sanitation inspection report at operation; report must include name & phone number of inspector,0,0,1,0,False
748.3001(b) - Sanitation Inspection-Each inspection must meet regulations of the local health department ordinances,0,0,1,0,False
748.3001(a)(1) - Sanitation Inspection-Sanitation official must conduct a sanitation inspection before initial permit issued,0,0,2,0,False
748.3001(a) - Sanitation Inspection-State or local sanitation official must conduct a sanitation inspection,0,0,1,0,False
"748.2953(a) - Evaluation-Quarterly, operation must collect, document, & review aggregate numbers of emergency behavior interventions by type of intervention",0,2,0,0,False
"748.2855(c) - EBI Documentation-If personal restraint, must include specific restraint techniques used, including prone/supine restraint used as transitional hold",0,1,1,0,False
748.2855(a)(9) - EBI Documentation-Must include all attempts to explain to the child what behaviors were necessary for release from the intervention,0,1,1,0,False
748.2855(a)(5) - EBI Documentation-Must include the date and time the intervention was administered,0,0,1,0,False
748.2855(a)(11) - EBI Documentation-Must include actions caregiver(s) took to facilitate child's return to normal activities following intervention,0,1,1,0,False
"748.2853(3) - EBI Documentation-Date and time the post discussion took place, if applicable",0,0,1,0,False
748.2853(1) - EBI Documentation-Date and time the caregiver offered the post discussion to the child,0,0,1,0,False
748.2851(c)(1) - EBI Follow-Up-Caregivers involved in EBI must debrief with each other about incident as soon as possible after situation has stabilized,0,0,1,0,False
748.2851(b)(4) - EBI Follow-Up-Caregiver involved in EBI must conduct post discussion w/ child to discuss how caregivers can help child regain self-control in future,0,0,1,0,False
748.2753(a)(1) - Simultaneous Interventions-May use emergency medication with personal restraint or seclusion only if allowed by operation's policies,0,0,1,0,False
748.2751(a)(1) - Successive Interventions-Caregiver may successively use emergency behavior interventions on a child only if allowed by operation's policies,0,0,1,0,False
748.2651(a) - Seclusion-Caregivers must continuously observe the child; use of window or one-way mirror allowed; use of video camera not permitted,0,0,2,0,False
748.2605(b)(1) - Personal Restraints Prohibited-Prone and supine restraints except as a transitional hold that lasts no longer than 1 minute,0,0,5,0,False
748.2553(2)(A) - EBI Release-Child released from personal restraint immediately in emergency health situation and treatment obtained immediately,0,0,2,0,False
748.2551(b) - EBI Implementation-The caregiver must act to protect the child's safety,0,0,1,0,False
748.2507(3) - EBI Orders-PRN for emergency medication reviewed by physician at least every 30 days & includes justification for continuation of PRN order,0,0,1,0,False
"748.2505(a)(3) - EBI Orders-Written order must include any specific measures for ensuring child's health, safety, and well being, and safeguarding child's dignity",0,0,1,0,False
748.2505(a)(1) - EBI Orders-Written order must include statement that emergency behavior intervention may only be used in an emergency situation,0,0,1,0,False
"748.2503 - Emergency Behavior Intervention Orders-Required order in child's record before EBI used, except verbal seclusion order if child endangers self/others",0,1,0,0,False
"748.2501(4)(B) - Emergency Behavior Intervention Orders-Required for seclusion,  written by a licensed psychiatrist, psychologist, or physician",0,0,1,0,False
748.2461(b)(4) - Short Personal Restraint-Caregiver may not use restraint that obstructs the caregiver's view of the child's face,0,0,1,0,False
"748.2455(a)(1) - Emergency Behavior Intervention-Before using EBI, the caregiver must attempt less restrictive interventions that prove to be ineffective",0,0,3,0,False
748.2003(b)(10) - Administration of Medication-Must not borrow or administer prescription medication to a child that is prescribed to another person,0,1,2,0,False
"748.2001(b) - Administration of Medication-Must obtain written, signed, & dated consent for a new psychotropic medication",0,1,0,0,False
748.1937(2) - Care for children and adults-assessment/approval by PLSP for adult resident to share bedroom with child must be documented in child's record,0,0,1,0,False
748.191(3) - Required Postings-Post emergency and evacuation relocation plans in each building and living quarters used by children where all may view them,0,1,1,0,False
748.1439(b)(1)(A) - Discharge Documentation-Discharge summary must include services provided to the child while in your care,0,0,1,0,False
"748.1437(7) - Discharge/Transfer Documentation-For emergency discharge/transfer, document reason for discharge/transfer explained to child, and child's reaction",0,0,3,0,False
748.1437(4) - Discharge/Transfer Documentation-Must include copies of child's service plans while in operation's care for the past 12 months,0,0,1,0,False
"748.1433(d) - Discharge-If child not receiving tx svcs, tell him of non-emergency discharge/transfer 4 days in advance, unless LCCA or PLSP justifies not doing so",0,0,1,0,False
"748.1433(c) - Discharge-If unable to plan transfer/discharge with required persons, document the reason in child's record",0,1,0,0,False
748.1385(9) - Service Plan Review-Must evaluate use and effectiveness of EBIs used since last service plan,0,0,1,0,False
748.1385(6) - Service Plan Review-Must document visitation and contacts with family,0,0,1,0,False
"748.1385(5) - Service Plan Review-Must evaluate effectiveness & side effects of psychotropic meds, change in psychotropic meds, child's behaviors and reactions",0,0,2,0,False
748.1385(1) - Service Plan Review-Must include evaluation of child's progress and effectiveness of strategies and techniques used to meet identified needs,0,0,1,0,False
"748.1381(2) - Service Plan Review-If child receiving treatment services for ED, PDD, or PMN, review at least 90 days from date of last service plan",0,1,3,0,False
"748.1351 - Initial Service Plan-Implement & follow plan as soon as all team members have reviewed/signed it, but no later than 10 days after date of meeting",0,1,2,0,False
"748.1337(b)(2)(A) - Initial Service Plan-For treatment services, include all child-care services planning requirements",0,1,1,0,False
748.1337(b)(1)(N) - Initial Service Plan-Include signatures of service planning team members that were involved in development of service plan,0,1,0,0,False
748.1337(b)(1)(K) - Initial Service Plan-Include names and roles of persons who participated in service plan development,0,0,1,0,False
"748.1337(b)(1)(F) - Initial Service Plan-If child is 14 years old or older, include plans for experiential life skills training",0,0,1,0,False
"748.1337(b)(1)(E)(v) - Initial Service Plan-If child is 13 years old or older, include plan for education on human reproduction",0,0,1,0,False
"748.1337(b)(1)(E)(iv) - Initial Service Plan-If child is 13 years old or older, include plan for education on sexually transmitted diseases",0,0,1,0,False
748.1337(b)(1)(D)(iii) - Initial Service Plan-Include instructions to caregivers about behavior intervention techniques,0,0,1,0,False
748.1337(b)(1)(D)(ii) - Initial Service Plan-Include instructions to caregivers about discipline techniques,0,0,1,0,False
"748.1337(b)(1)(B) - Initial Service Plan-Include plans for maintaining and improving child's family relationships, including recommendations for visitation and contacts",0,1,1,0,False
"748.1337(b)(1)(A)(vii) - Initial Service Plan-Include plans for integrating the child into the community and community activities, as appropriate",0,0,1,0,False
"748.1337(b)(1)(A)(vi) - Initial Service Plan-Include plans for social, recreation, and leisure activities",0,0,1,0,False
"748.1337(b)(1)(A)(ix) - Initial Service Plan-Include cultural identity needs, including assisting children in connecting with their culture in the community",0,0,1,0,False
"748.1337(b)(1)(A)(ii) - Initial Service Plan-Include dental needs, including scheduled dental exams and plans for recommended follow-up treatment",0,1,1,0,False
748.1337(b)(1)(A) - Initial Service Plan-Include child's needs identified in admission assessment,0,0,2,0,False
748.1331(d) - Preliminary Service Plan-Document the plan in the child's record,0,0,1,0,False
"748.133(2) - Notify Licensing-In writing, of changes in the composition of the governing body within 2 days of such a change",0,0,1,0,False
748.1439(b)(4) - Discharge Documentation-Send copy of assessments and/or evaluations you performed to next placement/caregiver within 15 days,0,1,0,0,False
747.4005 - Indoor Useable Space,0,1,2,0,False
748.1481(b)(1) - Release of Child-All employees & service providers instructed to follow policies for releasing a child,0,0,1,0,False
748.1501(a)(1) - Dental care-Children in care must receive dental care initially  according to the requirements in 748.1225,0,1,0,0,False
748.1825(1) - Adolescent parents with their child(ren)- adolescent parent must provide most of the care for her child,0,0,1,0,False
748.1823(1) - Pregnant child-health-care professional must document whether any type of emergency behavior intervention is inadvisable,0,0,1,0,False
748.1795(7) - Toddler activities-provide supervised naptimes including after the noon meal,0,0,1,0,False
748.1795(1) - Toddler activities-provide daily opportunities for outdoor play,0,0,1,0,False
748.1791(c) - Care requirements for a toddler-caregiver must never leave toddler unsupervised; caregiver must be within eyesight/hearing range of sleeping toddler,0,0,1,0,False
"748.1757(c) - AP Prohibited equip for infants-No soft/loose bedding, blankets, sleep positioners, stuffed toys, pillows, bumper pads, in crib infants 12 mo or less",0,0,1,0,False
748.1743(e) - Care requirements for infants-caregiver must never leave infant unsupervised; caregiver must be within eyesight or hearing range of sleeping infant,0,0,2,0,False
748.1703(b) - Menus-must document food substitutions on the menu that are of comparable food value,0,0,1,0,False
"748.1699(c) - Nutrition-if meal or snack not appropriate to meet a child's individual needs, then must offer an appropriate nutritional substitute",0,0,1,0,False
748.1699(b) - Nutrition-must discuss recurring eating problems with the child's parent,0,0,1,0,False
748.1697(a) - Toddler and older children feeding-must eat meals in the dining areas unless a child service planning team recommends otherwise,0,0,1,0,False
748.1661(d) - Tobacco Products-No one may smoke tobacco products in motor vehicles when transporting children,0,0,1,0,False
748.1661(c) - Tobacco Products-An adult may only smoke tobacco products on the premises at a safe distance from the children's living quarters,0,0,2,0,False
748.1661(b) - Tobacco Products-Adult may not smoke tobacco products in children's living quarters or inside any building on the premises where children are present,0,0,1,0,False
748.1661(a) - Tobacco Products-Children may not use or possess tobacco products,0,0,1,0,False
748.163 - Fiscal requirements-Complete professional audit annually and make it available for Licensing's review,0,1,0,0,False
748.161(5) - Fiscal requirements-Separate child's money from facility funds; give/send child's money to child/parent/next placement within 30 days of discharge,0,1,0,0,False
"748.1545(b) - Vision and hearing screening - Results on file for child, or parental statement that school has records or screening should not be done",0,1,0,0,False
748.1539(b) - Immunizations-The operation must maintain current immunizations records for each child in care,0,0,2,0,False
748.1539(a) - Immunizations-Each child must meet and continue to meet the applicable immunization requirements,0,1,0,0,False
748.1531(b)(3) - Medical Care-Written record of each medical examination must include the follow-up treatment recommended and any appointments scheduled,0,0,1,0,False
748.1531(b) - Medical care-The child's record must include a written record of each medical examination,0,0,2,0,False
748.1531(a)(1) - Medical care-A child in care must receive medical care initially according to the requirements in 748.1223,0,1,2,0,False
748.1503 - Dental care-comply with dentist recommendations for examinations and treatment for each child,0,0,1,0,False
748.1501(b)(5) - Dental Care-Written record of each dental examination must include a copy of the examination results,0,0,1,0,False
748.1501(b)(3) - Dental Care-Written record of each dental examination must include the follow-up treatment recommended and any appointments scheduled,0,0,2,0,False
748.1501(b) - Dental care-The child's record must include a written record of each dental examination,0,1,1,0,False
748.1481(b)(4) - Release of Child-Employees & service providers instructed on policy for retaining information on person picking up child until child returns,0,0,1,0,False
748.303(a)(10)(A) - Serious Incident-Report to Licensing no later than 24 hours after awareness that a child contracts reportable communicable disease,0,0,2,0,True
747.4003 - Indoor Space Requirement - Capacity Limited Based on Useable Space,0,1,1,0,False
747.3901 - Release of Children,0,0,2,0,False
746.5537(b)(2) - Electronic CO Detection Sys Connected to Alarm/Smoke Detection Sys-Test Documentation Available During Hours of Operation,0,1,3,0,False
746.5535(a) - Install CO Detection System-Number of CO Detection Devices,0,0,2,0,False
"746.5501(g) - Heating Devices Safe - Fireplace, Wood-burning Stove, Space Heater",0,1,1,0,False
746.5501(d) - Heating Devices Safe - No Access By Children,0,1,1,0,False
746.5313 - Smoke-Detection System Approval,0,2,0,0,False
746.5209(d) - Emergency Exit Not Through Kitchen or Hazardous Area,0,0,5,0,False
746.5205(3) - Documentation of Drills,0,40,70,0,False
746.5205(2) - Severe Weather Drill Every 3 Months,0,74,206,0,False
746.5202(1) - Emergency Preparedness Plan - Evacuation Procedures,0,35,103,0,False
746.507 - Provide Employees With Copy of Policies,0,0,1,0,False
746.5001(5) - Swimming Pools -Machinery Rooms Locked,0,0,1,0,False
746.5001(4) - Swimming Pools - Chemicals and Pumps Inaccessible to Children,0,0,1,0,False
"746.5537(b)(3) - Electronic CO Detection Sys Connected to Alarm/Smoke Detection Sys-Test Documentation Includes Inspector's Name, Phone Number, and Test Date",0,1,2,0,False
746.4955(b) - Use Zones of SCPE - Slides,0,0,1,0,False
746.4915 - Additional Surfacing Requirements for Indoor Active Play Equipment,0,0,3,0,False
"746.4815(b)(1) - Use Zones - Licensed Before September 1, 2003 - Re-design or New Equipment",0,1,0,0,False
"746.4815(a)(2) - Use Zones - Licensed Before September 1, 2003 - Slides",0,0,1,0,False
746.4809(a) - Measurement of Use Zone for Tire Swings - All Directions,0,0,6,0,False
746.4807(c) - Measurement of Use Zone for Swings - on Sides,0,2,8,0,False
746.4705(2) - Requirements for Tire - Not Suspended from a Composite Structure,0,0,3,0,False
746.4701(b) - Requirements for Swings - Edges Smooth or Rounded with No Protrusions,0,0,1,0,False
"746.4701(a) - Requirements for Swings - Seats of Durable, Lightweight, Rubber or Plastic",0,0,3,0,False
"746.4609(b) - Height - Licensed Before Dec 1, 2010 - Re-design or New Equipment",0,1,0,0,False
746.4609(a)(1) - Height - Licensed after Sept 1 2003 and before Dec 1 2010- Under 5 Yrs,0,0,1,0,False
