activity_type,self_report,activity_date,activity_id,operation_number,operation_id,operation_type,operation_name,location_address,mailing_address,county,type_of_issuance,issuance_date,conditions_on_permit,accepts_child_care_subsidies,total_capacity,licensed_to_serve_ages,corrective_action,adverse_action,temporarily_closed,programmatic_services,treatment_services,deficiency_high,deficiency_medium_high,deficiency_medium,deficiency_medium_low,deficiency_low,total_inspections,total_assessments,total_reports,total_self_reports,location_address_geo,related_violation,injury_detail
REPORT,N,2016-07-05,428414347,240122,105728,Licensed Center,The Imani School,12401 S POST OAK RD  HOUSTON TX- 77045 2020,12401 S POST OAK RD  HOUSTON TX- 77045 2020,HARRIS,Full Permit,07/27/2000,YES,N,478,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,8,1,0,1,11,0,3,0,"12401 S POST OAK RD HOUSTON TX- 77045 2020
(29.645014, -95.463586)",2r,2a
REPORT,N,2016-07-05,428414347,240122,105728,Licensed Center,The Imani School,12401 S POST OAK RD  HOUSTON TX- 77045 2020,12401 S POST OAK RD  HOUSTON TX- 77045 2020,HARRIS,Full Permit,07/27/2000,YES,N,478,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,8,1,0,1,11,0,3,0,"12401 S POST OAK RD HOUSTON TX- 77045 2020
(29.645014, -95.463586)",4s,4m
REPORT,N,2016-07-05,428414347,240122,105728,Licensed Center,The Imani School,12401 S POST OAK RD  HOUSTON TX- 77045 2020,12401 S POST OAK RD  HOUSTON TX- 77045 2020,HARRIS,Full Permit,07/27/2000,YES,N,478,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,8,1,0,1,11,0,3,0,"12401 S POST OAK RD HOUSTON TX- 77045 2020
(29.645014, -95.463586)",2r,4m
REPORT,N,2016-07-05,428414347,240122,105728,Licensed Center,The Imani School,12401 S POST OAK RD  HOUSTON TX- 77045 2020,12401 S POST OAK RD  HOUSTON TX- 77045 2020,HARRIS,Full Permit,07/27/2000,YES,N,478,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,8,1,0,1,11,0,3,0,"12401 S POST OAK RD HOUSTON TX- 77045 2020
(29.645014, -95.463586)",4s,7s
REPORT,N,2016-07-05,428414347,240122,105728,Licensed Center,The Imani School,12401 S POST OAK RD  HOUSTON TX- 77045 2020,12401 S POST OAK RD  HOUSTON TX- 77045 2020,HARRIS,Full Permit,07/27/2000,YES,N,478,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,8,1,0,1,11,0,3,0,"12401 S POST OAK RD HOUSTON TX- 77045 2020
(29.645014, -95.463586)",2r,7s
REPORT,N,2016-12-19,428426466,963968,440250,Licensed Center,Kids R Kids of West Allen,1223 N ALMA DR  ALLEN TX- 75013 4695,1223 N ALMA DR  ALLEN TX- 75013 4695,COLLIN,Full Permit,09/09/2009,NO,N,300,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,4,1,0,0,17,0,3,6,"1223 N ALMA DR ALLEN TX- 75013 4695
(33.116948, -96.698442)",,3i
REPORT,N,2017-07-27,428426469,963968,440250,Licensed Center,Kids R Kids of West Allen,1223 N ALMA DR  ALLEN TX- 75013 4695,1223 N ALMA DR  ALLEN TX- 75013 4695,COLLIN,Full Permit,09/09/2009,NO,N,300,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,4,1,0,0,17,0,3,6,"1223 N ALMA DR ALLEN TX- 75013 4695
(33.116948, -96.698442)",2r,6m
REPORT,Y,2016-06-14,428426463,963968,440250,Licensed Center,Kids R Kids of West Allen,1223 N ALMA DR  ALLEN TX- 75013 4695,1223 N ALMA DR  ALLEN TX- 75013 4695,COLLIN,Full Permit,09/09/2009,NO,N,300,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,4,1,0,0,17,0,3,6,"1223 N ALMA DR ALLEN TX- 75013 4695
(33.116948, -96.698442)",,4m
REPORT,Y,2016-06-14,428426463,963968,440250,Licensed Center,Kids R Kids of West Allen,1223 N ALMA DR  ALLEN TX- 75013 4695,1223 N ALMA DR  ALLEN TX- 75013 4695,COLLIN,Full Permit,09/09/2009,NO,N,300,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,4,1,0,0,17,0,3,6,"1223 N ALMA DR ALLEN TX- 75013 4695
(33.116948, -96.698442)",,7s
REPORT,Y,2017-07-24,428432628,1528257,1128801,Licensed Center,CHILDREN OF LIGHT,588 AMBLER AVE  ABILENE TX- 79601 2510,588 AMBLER AVE  ABILENE TX- 79601 2510,TAYLOR,Full Permit,05/09/2014,NO,Y,150,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,22,19,3,0,0,29,0,9,3,"588 AMBLER AVE ABILENE TX- 79601 2510
(35.933695, -77.792399)",2r,3i
INSPECTION,,2017-07-24,428387512,1547257,1155265,Licensed Center,Candis Creations Private School,2846 S BECKLEY AVE  DALLAS TX- 75224 3526,2846 S BECKLEY AVE  DALLAS TX- 75224 3526,DALLAS,Full Permit,02/10/2015,NO,Y,89,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,16,27,3,2,0,21,0,3,0,"2846 S BECKLEY AVE DALLAS TX- 75224 3526
(32.711704, -96.822972)",5t,4m
INSPECTION,,2017-07-24,428387512,1547257,1155265,Licensed Center,Candis Creations Private School,2846 S BECKLEY AVE  DALLAS TX- 75224 3526,2846 S BECKLEY AVE  DALLAS TX- 75224 3526,DALLAS,Full Permit,02/10/2015,NO,Y,89,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,16,27,3,2,0,21,0,3,0,"2846 S BECKLEY AVE DALLAS TX- 75224 3526
(32.711704, -96.822972)",2r,4m
INSPECTION,,2017-07-24,428387512,1547257,1155265,Licensed Center,Candis Creations Private School,2846 S BECKLEY AVE  DALLAS TX- 75224 3526,2846 S BECKLEY AVE  DALLAS TX- 75224 3526,DALLAS,Full Permit,02/10/2015,NO,Y,89,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,16,27,3,2,0,21,0,3,0,"2846 S BECKLEY AVE DALLAS TX- 75224 3526
(32.711704, -96.822972)",1f,4m
REPORT,N,2016-01-31,428427535,1074786,570748,Licensed Center,"Tiger's Den Martial Arts & Fitness Clear Lake, LLC",915 OAKGROVE DR  HOUSTON TX- 77058 3041,915 OAKGROVE DR  HOUSTON TX- 77058 3041,HARRIS,Full Permit,05/17/2010,NO,Y,136,"Pre-Kindergarten,School",NO,NO,NO,,,3,2,0,0,0,6,0,2,0,"915 OAKGROVE DR HOUSTON TX- 77058 3041
(29.549605, -95.111245)",,7s
REPORT,Y,2017-01-18,428415392,410915,122714,Licensed Center,Zion Lutheran School And Early  Childhood Center,907 HICKS ST  TOMBALL TX- 77375 4125,911 HICKS ST  TOMBALL TX- 77375 4125,HARRIS,Full Permit,01/27/1992,NO,Y,125,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,8,5,0,0,12,0,2,2,"907 HICKS ST TOMBALL TX- 77375 4125
(30.0978, -95.624929)",2r,2a
REPORT,Y,2017-01-18,428415392,410915,122714,Licensed Center,Zion Lutheran School And Early  Childhood Center,907 HICKS ST  TOMBALL TX- 77375 4125,911 HICKS ST  TOMBALL TX- 77375 4125,HARRIS,Full Permit,01/27/1992,NO,Y,125,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,8,5,0,0,12,0,2,2,"907 HICKS ST TOMBALL TX- 77375 4125
(30.0978, -95.624929)",1f,2a
REPORT,Y,2017-01-18,428415392,410915,122714,Licensed Center,Zion Lutheran School And Early  Childhood Center,907 HICKS ST  TOMBALL TX- 77375 4125,911 HICKS ST  TOMBALL TX- 77375 4125,HARRIS,Full Permit,01/27/1992,NO,Y,125,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,8,5,0,0,12,0,2,2,"907 HICKS ST TOMBALL TX- 77375 4125
(30.0978, -95.624929)",2r,4m
REPORT,Y,2017-01-18,428415392,410915,122714,Licensed Center,Zion Lutheran School And Early  Childhood Center,907 HICKS ST  TOMBALL TX- 77375 4125,911 HICKS ST  TOMBALL TX- 77375 4125,HARRIS,Full Permit,01/27/1992,NO,Y,125,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,8,5,0,0,12,0,2,2,"907 HICKS ST TOMBALL TX- 77375 4125
(30.0978, -95.624929)",1f,4m
REPORT,Y,2017-01-18,428415392,410915,122714,Licensed Center,Zion Lutheran School And Early  Childhood Center,907 HICKS ST  TOMBALL TX- 77375 4125,911 HICKS ST  TOMBALL TX- 77375 4125,HARRIS,Full Permit,01/27/1992,NO,Y,125,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,8,5,0,0,12,0,2,2,"907 HICKS ST TOMBALL TX- 77375 4125
(30.0978, -95.624929)",2r,7s
REPORT,Y,2017-01-18,428415392,410915,122714,Licensed Center,Zion Lutheran School And Early  Childhood Center,907 HICKS ST  TOMBALL TX- 77375 4125,911 HICKS ST  TOMBALL TX- 77375 4125,HARRIS,Full Permit,01/27/1992,NO,Y,125,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,8,5,0,0,12,0,2,2,"907 HICKS ST TOMBALL TX- 77375 4125
(30.0978, -95.624929)",1f,7s
REPORT,Y,2017-01-04,428419125,812393,196608,Licensed Center,L and M Christian Daycare/Learning Center,1603 W HOUSTON ST  MARSHALL TX- 75670 3856,PO BOX 1928  MARSHALL TX- 75671 1928,HARRISON,Full Permit,11/26/2001,NO,Y,127,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,1,2,0,0,6,0,0,2,"1603 W HOUSTON ST MARSHALL TX- 75670 3856
(33.662737, -95.572722)",,4m
REPORT,N,2017-04-03,428430451,1430307,1005110,Licensed Center,Kids R Happy,10502 GRANT RD  HOUSTON TX- 77070 4408,10502 GRANT RD  HOUSTON TX- 77070 4408,HARRIS,Full Permit,10/04/2012,YES,N,68,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,21,22,2,6,11,1,2,0,"10502 GRANT RD HOUSTON TX- 77070 4408
(29.967216, -95.576948)",2r,6m
