NARRATIVE,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,DATE_CORRECTION_VERIFIED,OPERATION_ID
The caregivers did not demonstrate good judgment when they did not inform the child's parent of the injury.  The operation did not call the child's parent when the injury occurred nor told the child's parent upon pickup.  The child was in care for approximately two and half hours with a broken wrist.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/15/2015 12:00:00 AM,12/30/2015 12:00:00 AM,173344
Caregivers allowed several children to play outside without shoes on and a child was injured by a wood chip that was lodged in her foot.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",10/12/2016 12:00:00 AM,10/26/2016 12:00:00 AM,1248489
There is sufficient evidence to conclude that a caregiver used poor judgment while facilitating an activity with children in care that led to a child becoming injured.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",11/27/2015 12:00:00 AM,12/10/2015 12:00:00 AM,254096
The caregiver did not demonstrate good judgment when first aid was not administered to a child's injury.  The caregiver did not share the child's injury with the site director before the caregiver left for the day.  There fore the child's parents were not informed of the child's injury.  The child's finger was visibly injured.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",04/20/2017 12:00:00 AM,04/24/2017 12:00:00 AM,721728
Upon investigation it was found a caregiver demonstrated poor judgment by moving a child with a head injury rather than waiting for emergency medical services.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",05/12/2017 12:00:00 AM,05/24/2017 12:00:00 AM,604108
A caregiver failed to use good judgment by not responding to a child in distress and not fully assessing a child to determine the extent of the injury.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",02/17/2016 12:00:00 AM,02/18/2016 12:00:00 AM,509208
"Based on the information gathered, the operation did not use good judgment by allowing school-age children to play on unsafe equipment. This caused a child to injure themselves and receive medical attention.","744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",04/28/2017 12:00:00 AM,05/11/2017 12:00:00 AM,1269281
Information obtained during the investigation revealed that caregivers were not in close proximity of the child when an injury occurred.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,10/28/2016 12:00:00 AM,11/14/2016 12:00:00 AM,118631
Information obtained during the investigation revealed that a child was able to play on playground equipment that the operation does not allow the children to play on. This resulted in a child having a serious injury. Caregivers did not witness the incident occur.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,03/15/2016 12:00:00 AM,03/28/2016 12:00:00 AM,604108
This standard was evaluted due to an allegation at the operation and found to be out of compliance. Licensing learned that both caregivers were sitting on the bench closest to the fence and not in proxomity of the children when the child was injured.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/19/2016 12:00:00 AM,06/01/2016 12:00:00 AM,276105
Based on interviews and observations a child was not properly supervised which resulted in an injury that required medical attention.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,02/19/2016 12:00:00 AM,02/26/2016 12:00:00 AM,1222002
A child received an injury requiring medical care while in care at the operation due to lack of proper supervision.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,10/13/2015 12:00:00 AM,10/21/2015 12:00:00 AM,217239
A child was injured while playing an active running game in the gym.  The teacher stated that she saw it out of the corner of her eye but did continued to speak with the child she was counseling.  Another child had to come and tell her that one of the children was hurt.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,12/07/2016 12:00:00 AM,12/13/2016 12:00:00 AM,113489
Caregivers were not supervising appropriately in order to intervene when a child was injured on the playground.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,12/15/2015 12:00:00 AM,12/17/2015 12:00:00 AM,147560
"This standard was evaluated with regard to an investigation, and a violation was determined.  The children were running laps in the gym and none of the caregivers, in the gym,  saw what happened to a child that was injured.",744.1203(4) - Responsibilities of Caregivers- Supervision of Children,12/22/2015 12:00:00 AM,01/08/2016 12:00:00 AM,321272
"Supervision was not appropriate as a child was able to obtain a razor blade while on a field trip, take this back to the operation, and then injured a child while the two children fought over getting the razor blade.",744.1203(4) - Responsibilities of Caregivers- Supervision of Children,07/21/2016 12:00:00 AM,08/01/2016 12:00:00 AM,366544
Based on information collected during the investigation the caregivers not were properly supervising the children at the time of the incident. The caregiver's did not see how the child was hurt and could not intervene quickly to prevent the child from being injured.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,11/11/2016 12:00:00 AM,12/07/2016 12:00:00 AM,368406
A child was injured while in care and no staff member saw what preceded the injury.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,07/13/2017 12:00:00 AM,07/18/2017 12:00:00 AM,1156071
"Based on the information gathered, the staff did not take any precautions after a child was already injured on this particular equipment a few days before.  Supervision was not appropriate if a child was not seen jumping on this spinning wheel while another child was already on it which caused the child to fall off hurting his arm.",744.1203(4) - Responsibilities of Caregivers- Supervision of Children,08/15/2016 12:00:00 AM,08/29/2016 12:00:00 AM,1038148
"Based on the information obtained, a seven year old child walked out of the cafeteria unnoticed by his caregivers.  Caregivers were told by other children in care that the child had taken his backpack and walked out.  Child was found when he re-entered the cafeteria at the same time has his mother.  Child was not unharmed and had no injuries.",744.1203(4) - Responsibilities of Caregivers- Supervision of Children,11/17/2015 12:00:00 AM,12/04/2015 12:00:00 AM,361434
It was determined after the investigation and during the walk through that the children in the auditorium were out of control.  As we walked in the room there were children running as full speed onto the stage and then jumping off.  This type of behavior also injured a child in care and broke a finger.,744.1203(5) - Responsibilities of Caregivers - Children in Control,07/13/2017 12:00:00 AM,08/07/2017 12:00:00 AM,1156356
"During the inspection, I observed that staff did not ensure the children were not out of control.  During the inspection, I observed multiple occasions of several children running through the cafeteria.  During the inspection, I observed children standing on the cafeteria benches, pulling each other on the cafeteria benches, and throwing items into the air.  I observed a child filling a plastic ziploc bag with water from the water fountain, water puddling onto the floor, and then the child drinking out of that plastic bag.  Outside, I observed the child playing on the climbing structure and slide with the same ziploc bag that still had some water inside and after I asked the caregiver about this, she addressed it and took the bag from the child.  Outside, I observed children hanging from the outside of the first turn of the slide and dropping down to the ground.  Outside, I observed two children climbing up the outside of the climber on the climbing structure.  During the inspection, I had to step in to redirect two children to prevent a fight and possible injury.    I observed two children playing tug of war with a bulletin board border strip on the stairs of the stage and this was corrected by caregivers after a several minutes as I was going over to the children.  I observed a child sitting and shooting spit wads and after a few minutes this was addressed by a caregiver.",744.1203(5) - Responsibilities of Caregivers - Children in Control,04/07/2016 12:00:00 AM,04/14/2016 12:00:00 AM,151862
The black border that borders the playground areas had a few of the silver bolts sticking up that could cause a tripping hazard or injury for the children while playing.,"744.2507 - Maintenance of Building, Grounds and Equipment",01/17/2017 12:00:00 AM,01/20/2017 12:00:00 AM,1254496
A caregiver did not give appropriate first aid to a child who received an injury while in care.,744.2577(2) - Critical Illness or Injury -Give First Aid or CPR,02/17/2016 12:00:00 AM,02/18/2016 12:00:00 AM,509208
The failed to administer first to a child who was injured in the mount.,744.2577(2) - Critical Illness or Injury -Give First Aid or CPR,02/22/2017 12:00:00 AM,03/09/2017 12:00:00 AM,310258
A child injured did not receive first aid.,744.2577(2) - Critical Illness or Injury -Give First Aid or CPR,04/12/2016 12:00:00 AM,04/25/2016 12:00:00 AM,1120036
"On the playground, the fence around the gardening area, has slats that are missing, have fallen down, and have nails sticking out that could injure a child.  The area is not to be used until the fence is fully repaired. (pictures were taken)",744.2601 - Safety - Areas Free From Hazards,11/30/2015 12:00:00 AM,12/21/2015 12:00:00 AM,1144968
"Observed 3 wired  shelving units that were over 5 foot tall against the wall that were not properly anchored. Toys, books and learning booklets were stacked in each shelf including the very top shelf. When the shelving units were touched, they wobbled and moved easily. If a child were to run into, pushed up against or leaned on the shelf, there is a possibility of the shelf falling and injuring a child.",744.2601 - Safety - Areas Free From Hazards,05/27/2016 12:00:00 AM,06/02/2016 12:00:00 AM,1235666
This standard was evaluated with regards to a received report and found to be deficient. Licensing was not notified of change of space being used for children during outdoor time. A child was received an injury while playing in space that was not licensed.,744.301(2) - Notification of Change in Space,11/28/2016 12:00:00 AM,11/07/2016 12:00:00 AM,1255414
A child was injured and had to seek medical treatment and the operation failed to report the incident to licensing.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/20/2017 12:00:00 AM,06/26/2017 12:00:00 AM,297915
This standard was evaluated in regards to an investigation and was shown deficient.  Licensing was not notified of a child injury that required medical attention in the two day time frame required.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/02/2015 12:00:00 AM,11/03/2015 12:00:00 AM,167706
The operation notified Licensing after 48 hours of learning that the injured child sought medical treatment.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,04/18/2016 12:00:00 AM,,721728
A child in care was injured and received medical attention and treatment. The operation did not notify Licensing of this incident within the required time frame.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/13/2017 12:00:00 AM,03/02/2017 12:00:00 AM,126943
"Based on the preponderance of evidence, observations made at the operation and interviews with staff, it was determined that the operation failed to report an injury requiring medical attention to licensing within the required 48 hour timeframe.",744.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/14/2016 12:00:00 AM,07/05/2016 12:00:00 AM,1091280
Operation failed to report injury of a child that required medical treatment within two calendar days.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/28/2017 12:00:00 AM,09/07/2017 12:00:00 AM,164860
It was determined during the investigation the child had sustained a previous injury and it was not reported to licensing.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/08/2017 12:00:00 AM,03/20/2017 12:00:00 AM,244010
The operation failed to report an injury that required medical attention to licesning within the required 48 hour time frame.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/30/2017 12:00:00 AM,,1251371
It was found during an investigation that a child was injured on at least two occasions and medical attention was obtained.  These incidents were not reported to licensing timely.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/29/2015 12:00:00 AM,11/04/2015 12:00:00 AM,164634
"Based on evidence obtained during an investigation, it was determined that a parent was not notified of a head injury of a child in care who was known to have had a recent concussion.",744.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/14/2016 12:00:00 AM,01/29/2016 12:00:00 AM,218248
The operation reported  that child sought medical attention for an injury that happened while in their care. The report was not made until 9 days after employees were notified of the incident.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/11/2016 12:00:00 AM,03/01/2016 12:00:00 AM,173050
The operation did not notify Licensing of the injury within the two day time frame.    This was CORRECTED AT INSPECTION when it was discussed with the site director the different ways and injury can be reported.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/09/2016 12:00:00 AM,,1195123
"Based on information obtained at the time of the inspection, it was determined that a parent was not notified of a head injury.",744.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/31/2016 12:00:00 AM,04/15/2016 12:00:00 AM,162645
Operation failed to timely report an incident where a child was injured and required medical treatment.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/29/2017 12:00:00 AM,04/05/2017 12:00:00 AM,101335
An injury that required medical treatment was not reported to Licensing as required.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/03/2016 12:00:00 AM,05/04/2016 12:00:00 AM,299590
The operation failed to notify Licensing within two days of an injury requiring medical treatment.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/21/2016 12:00:00 AM,09/21/2016 12:00:00 AM,1170010
It was found during an investigation that an incident involving a head injury with a child in care was not reported to Licensing within the required 48 hours.,744.305(a)(5) - Report Situation Placing Children at Risk,10/12/2016 12:00:00 AM,10/28/2016 12:00:00 AM,132463
A child was injured on the playground.  He cried for a while and was holding his arm because it hurt.  It was also swollen.  The staff did not call the parent to notify him of the injury.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,09/28/2015 12:00:00 AM,10/20/2015 12:00:00 AM,147608
This standard was evaluated with regards to an investigation and found to be deficient. A staff member did not notify the parent of a child's injury that required medical attention.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,12/03/2015 12:00:00 AM,12/17/2015 12:00:00 AM,1154025
A caregiver did not notify parents immediately after a child injury occurred at the operation.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,02/17/2016 12:00:00 AM,02/18/2016 12:00:00 AM,509208
"A child fell during play at the daycare and injured his wrist.  Daycare staff felt it was not serious.  His parent or guardian was not informed of the injury at pick up time.  It was later learned that the wrist was broken.  This was corrected when the center director met with staff and went over the difference between an injury that just requires an ""ouch report"" given at the end of the day and a more serous injury that needs to be communicated to parents immediately.",744.307(a)(1) - Parental Communication - Treatment by Health Personnel,07/13/2016 12:00:00 AM,,1040708
A child was poked in the eye accidentally by another child. Center staff did not call parent timely to advise them of the injury. According to information gathered the child's eye was very red and he was very uncomfortable.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,04/07/2017 12:00:00 AM,04/19/2017 12:00:00 AM,122816
The operation failed to notify a parent of an injury that was obtained while in care.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,11/22/2016 12:00:00 AM,11/30/2016 12:00:00 AM,907329
This standard was evaluated with regard to an investigation and it was determined that the parents were not notified of the injury to their child.  The parents became aware of the injury when they walked into the building.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,12/22/2015 12:00:00 AM,01/08/2016 12:00:00 AM,321272
Caregivers did not communicate a serious injury with parents.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,07/01/2016 12:00:00 AM,07/07/0016 12:00:00 AM,917239
"The written operational policy indicates that the child care program will not inform licensing if there is a medication error, an illness/injury, and/or physical aggression.",744.307(a)(3) - Parental Communication - Situation that Placed a Child at Risk,10/09/2015 12:00:00 AM,12/07/2015 12:00:00 AM,321272
The operation failed to notify parents when a child was injured.,744.307(a)(3) - Parental Communication - Situation that Placed a Child at Risk,09/11/2017 12:00:00 AM,09/19/2017 12:00:00 AM,752297
"Based on the information gathered, a caregiver failed to notify a parent of a minor injury that resulted in medical attention.",744.307(b) - Parental Notification of Less Serious Injuries,06/30/2017 12:00:00 AM,07/14/2017 12:00:00 AM,1096619
There was no verbal communication between staff and parent of a child who received an injury. The injury did not seem serious at first and then became an injury that required medical care.  Staff should have informed parent about it at least verbally when parent came to pick up child.,744.307(b) - Parental Notification of Less Serious Injuries,11/28/2016 12:00:00 AM,11/07/2016 12:00:00 AM,1255414
The standard was evaluated with regards to an investigation and was found to be not in compliance with the minimum standard rules.    Staff did not inform parents of a child's outcry of a potential injury.,744.307(b) - Parental Notification of Less Serious Injuries,07/14/2016 12:00:00 AM,07/25/2016 12:00:00 AM,364482
Based upon the information that was received and reviewed throughout the course of the investigation it was determined that communication with the parent was not appropriate when an injury occurred at the after school program where medical treatment was then obtained.,744.307(b) - Parental Notification of Less Serious Injuries,01/30/2017 12:00:00 AM,02/13/2017 12:00:00 AM,299590
It was found through interviews that a parent was not made aware of three incidents in which a child was injured.,744.307(b) - Parental Notification of Less Serious Injuries,10/29/2015 12:00:00 AM,11/04/2015 12:00:00 AM,164634
Observed 2 metal screws protruding out of the wall near the basketball court. The screws can cause injury to children if they were to run into it.     This was corrected at inspection when equipment was placed in front  of the area to prevent children getting near the screws.             Observed a broken table propped up against the wall to the left side of the entrance way.  This is a potential hazard because the table can tip over or fall onto a child.    This was corrected at inspectionw when the table was removed from the center and away from children.,744.3101(a)(1) - Safety Requirements for Active Play Equipment - Arranged for Supervision,10/23/2015 12:00:00 AM,,1156068
"The red foam mat that is placed under the tumbl track moved, this exposed the concrete wall which resulted in a child sustaining an injury when they jumped in.    The operation is not allowing the children in care to use that portion of the tumbl track until it is repaired.",744.3101(a)(5) - Safety Requirements for Active Play Equipment - Securely Anchored,11/27/2015 12:00:00 AM,12/01/2015 12:00:00 AM,1117219
I observed a   play equipment on the playground that has a long opening that can cause an injury to the children and become a health and safety issue.,"744.3101(a)(7) - Safety Requirements for Active Play Equipment - No Pinch, Crush, or Shear Points",02/24/2017 12:00:00 AM,,1202579
A child was injured while using prohibited equipment while attending a field trip.,"744.3105(a)(3) - Prohibited Equipment - Trampolines - Except if Less Than 4 Feet, 12 Inches or Less Above Resilient Material",08/15/2017 12:00:00 AM,08/15/2017 12:00:00 AM,1035408
Children 4 years and younger were allowed to play on equipment prohibited for their age.  A child received a serious injury.,744.3107(b)(4) - Equipment Prohibited for Younger Than 4 Yrs - Over-head Rings and Parallel Bars,05/03/2016 12:00:00 AM,05/05/2016 12:00:00 AM,1210187
During investigation it was found the Site Director nor the caregivers checked the playground equipment thoroughly therefore resulted in a child being injured.,744.3113(a) - Maintenance Procedures for Active Play - Inspect Daily,04/26/2017 12:00:00 AM,05/05/2017 12:00:00 AM,104326
The loose-fill on the playground was not at the correct height for absorbing the impact of a fall  which could lead to an injury and cause a safety hazard while children are playing outdoors.,744.3255(d) - Installation and Maintenance of Loose-fill Surfacing - Proper Depth Maintained,03/15/2017 12:00:00 AM,,1202579
"Two out of  ten files are missing a statement of the childs special problems or special care needs. This includes, but is not limited to, allergies, existing illness, previous serious illness and injuries, hospitalizations during the past 12 months, and any medications prescribed for continuous, long-term use.",744.605(13) - Required Admission Information-Special Care Needs Statement,02/10/2017 12:00:00 AM,02/09/2017 12:00:00 AM,347857
This standard was evaluated as part of an investigation. The address for the designated emergency contact person was not in the file for a child that was injured while in care.,744.605(6) - Required Admission Information - Emergency Contact,01/07/2016 12:00:00 AM,01/11/2016 12:00:00 AM,581029
"This standard was evaluated as part of an investigation and also monitoring inspection. The address was missing for the designated emergency contact person on three files, including a child injured while in care. The phone number for the designated emergency contact person was missing on one form..",744.605(6) - Required Admission Information - Emergency Contact,11/04/2015 12:00:00 AM,11/02/2015 12:00:00 AM,324644
Caregivers did not fill out an incident report for an injury that required medical attention and did not inform the parents what happened when the child picked up.,744.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,10/12/2016 12:00:00 AM,10/26/2016 12:00:00 AM,1248489
"Based on the information gathered during the investigation, it was determined that the form used to document the injury did not use the licensing form or a form that had the same information on licensing's incident report form.",744.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,07/28/2017 12:00:00 AM,08/10/2017 12:00:00 AM,1113749
A parent did not receive an incident report for an injury to their child that occurred while in morning care. The injury was to a finger and required medical attention.,744.707 - Incident/Illness Report Form Shared with Parent,02/02/2017 12:00:00 AM,02/13/2017 12:00:00 AM,101409
An incident report was not provided or shared with the parent regarding two injuries that required medical attention.,744.707 - Incident/Illness Report Form Shared with Parent,10/29/2015 12:00:00 AM,11/04/2015 12:00:00 AM,164634
Operation did not share an incident report with a parent who's child was injured while in care.,744.707 - Incident/Illness Report Form Shared with Parent,05/03/2016 12:00:00 AM,05/04/2016 12:00:00 AM,299590
A caregiver knowingly wrote a false incident report blaming a child for causing the injury to another child when it was determined the caregiver writing the incident report caused the injury.,745.8605 - Recommend or impose an enforcement action,06/07/2017 12:00:00 AM,06/20/2017 12:00:00 AM,1229439
"A condition of the corrective action states:    Effective October 30, 2015, the director must review procedures for responding to injuries and medical emergencies in accordance with the center's operational policies and Minimum Standards with all staff. The policies must include step by step protocol for addressing immediate concerns with the children regarding situations that place a child at risk, serious injuries and/or medical emergencies. The policies must also include an outline that designates individuals whom will be responsible for contacting EMS, the child's parents, Child Care Licensing and completing/sharing the incident/illness report form.  The procedures must be posted in a prominent location in each classroom for reference.  The procedures must be reviewed with all staff by November 6, 2015. Documentation of the injury/medical emergency procedure training must be maintained for each current and new employee hired.    One employee hired prior to 11/6/2015 was not provided with the required training until 11/7/2015.  This did not meet the condition of the Corrective Action.      All other conditions of the corrective action were observed as compliance.    Note: the director had the caregiver sign the medical emergency protocol at inspection.",745.8633 - Meeting Requirement of Corrective Action,01/22/2016 12:00:00 AM,01/21/2016 12:00:00 AM,1142218
Based on information obtained during the investigation. The incident reports completed when a child was injured did not contain accurate information.,746.1003(1) - Director Responsibilities - Operate in Compliance,08/21/2017 12:00:00 AM,08/22/2017 12:00:00 AM,337968
Caregivers have been retrained to fill out incident reports at the time of injury. Director informed all caregivers to notify her of all injuries that occur as well as any communication that has taken place between caregiver and the parent.        Based on information obtained during the investigation. The incident reports completed when a child was injured did not contain accurate information,746.1003(1) - Director Responsibilities - Operate in Compliance,08/22/2017 12:00:00 AM,08/22/2017 12:00:00 AM,337968
This standard was evaluated in regards to the reported allegations of a child injury and reports alleging other concerns and is found deficient.  According to documentation provided and interviews conducted the director is not available regularly at opening hours to supervise staff and ensure they are acting in compliance and is not making arrangements to meet the needs of the center during unusual times such as holidays.,746.1003(1) - Director Responsibilities - Operate in Compliance,01/20/2016 12:00:00 AM,01/26/2016 12:00:00 AM,1135987
"Director needs to ensure that children under their care are supervised properly. Also, director needs to ensure that parents are notified immediately after a child becomes hurt/injured while in their care.",746.1003(1) - Director Responsibilities - Operate in Compliance,03/10/2017 12:00:00 AM,03/10/2017 12:00:00 AM,392110
A safety plan implemented to reduce the risk of injury to children that was agreed upon by the operation  and the Department was not adhered to by the directors of the operation during the course of this investigation. Written documentation of health checks performed on children was not maintained as per the safety plan.,746.1003(1) - Director Responsibilities - Operate in Compliance,05/05/2016 12:00:00 AM,05/12/2016 12:00:00 AM,234799
"The director assigned a caregiver, that could not lift more than 10 pounds, care for the toddler class. As a result, the caregiver was unable to appropriately assist a child that had sustained a critical injury.",746.1003(3) - Director Responsibilities - Employee Assignments,03/10/2017 12:00:00 AM,03/14/2017 12:00:00 AM,94665
A child was injured after a child with a pattern of difficult behavior was left alone with a substitute caregiver. The operation had a plan in place to utilize additional staff however it was not followed on the day of the incident.  It is also reported during the investigation on the day of the incident  the child who threw the chair and injured the other child had a very difficult morning and had run out of the classroom earlier with another child's sunglasses and flushed them down the toilet.,746.1003(3) - Director Responsibilities - Employee Assignments,08/22/2016 12:00:00 AM,08/29/2016 12:00:00 AM,287154
"Based on information obtained, the director failed to supervise staff adequately to be able to identify that a staff member needed assistance, thus enabling a situation to escalate to a point where a child sustained an injury.",746.1003(4) - Director Responsibilities - Employees Supervised,07/21/2017 12:00:00 AM,08/01/2017 12:00:00 AM,116683
"The person in charge did know where the childrens records were located.  The record, belonging to the child that was injured, needed to be reviewed.",746.1013(a)(3) - Director's Absence -  Caregiver in Charge Has Access to All Records,05/25/2016 12:00:00 AM,06/07/2016 12:00:00 AM,788328
"Based on information obtained, a caregiver failed to use good judgment when redirecting a child though they were aware of the child's needs, causing the child to sustain injuries.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",11/29/2016 12:00:00 AM,12/08/2016 12:00:00 AM,162125
"A child was injuried at the end of the day and the teacher did not inform management, or talk with the mother when she arrived.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",09/22/2016 12:00:00 AM,10/03/2016 12:00:00 AM,1108633
Operation staff exercised poor judgement when they failed to properly asses the injury of the child.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",02/08/2017 12:00:00 AM,02/13/2017 12:00:00 AM,196608
The caregiver did not show good judgment or self control when she yanked an infant by the arm to pick the infant up causing the infant to receive injury to it's arm.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",10/06/2016 12:00:00 AM,10/20/2016 12:00:00 AM,1155308
A child sustained an injury while in care that required medical attention and caregiver failed to use good judgment by not notifying parent immediately after child became hurt.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",03/10/2017 12:00:00 AM,03/10/2017 12:00:00 AM,392110
Caregiver failed to use good judgment when picking up a child resulting in an injury.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/19/2016 12:00:00 AM,12/29/2016 12:00:00 AM,1128286
"During the course of this investigation, it was determined that staff did not exercise good judgment when no First Aid was provided to an injured child.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",09/06/2016 12:00:00 AM,09/12/2016 12:00:00 AM,759268
"A caregiver did not demonstrate competency, or good judgment when providing inaccurate information regarding an injury. The caregiver also signed the incident report with inaccurate information on it.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",03/08/2017 12:00:00 AM,03/14/2017 12:00:00 AM,197299
