,STANDARD_NUMBER_DESCRIPTION,count
207,746.4601(6) - Safety Requirements for Active Play Equipment - Anchoring devices Below Level of Playing Surface,1
208,746.2803 - Positive Methods of Discipline and Guidance,1
209,747.1107(7) - Primary Caregiver in Licensed Home Qualifications - Proof of Training (A-J),1
210,"747.1501(b) - Responsibilities of Caregivers-Report Suspected Child Abuse, Neglect or Exploitation to DFPS Or Law Enforcement",1
211,746.3701(1) - Safety - Electrical Outlets Covered,1
212,746.305(a)(1) - Report Unsafe Facility Occurrence,1
213,748.311(6) - Serious Incident Documentation-Includes nature of the incident,1
214,746.1013(a)(3) - Director's Absence -  Caregiver in Charge Has Access to All Records,1
215,748.1531(d) - Medical care-Obtain follow-up medical treatment as recommended by the health-care professional,1
216,748.2463(3) - Emergency Behavior Intervention-Never used as a means to get a child to comply,1
217,746.3803(a)(1) - Medication Authorization - Signed and Dated,1
218,748.2455(a)(2) - Emergency Behavior Intervention-Basis for EBI is an emergency situation or to administer medication,1
219,748.1271(6) - Emergency Admission Documentation-Identification of child's high risk behaviors and related safety plan staff and caregivers will implement,1
220,744.1005(a)(1) - Director Responsibilities - Operate in Compliance,1
221,746.1201(2) - Responsibilities of Employees and Caregivers -Relate to Children,1
222,746.2905 - Children Not Required to Sleep,1
223,748.1101(b)(21) - Children's rights-Adhere to the child's right to confidential care and treatment,1
224,"748.1337(b)(1)(D) - Initial Service Plan-Include specific goals and strategies to meet the child's needs, including instructions to caregivers",1
225,749.2061(a)(2) - Short Personal Restraint-Caregiver must use minimal amount of reasonable and necessary physical force,1
226,"749.2151(c)(1) - EBI Implementation-Caregiver must minimize risk of physical discomfort, harm, or pain to the child",1
227,746.1311(a) - Director Annual Training 30 Hours Required,1
228,746.2501(4) - Care Requirements for Toddlers - Holding and Comforting,1
229,746.4601(5) - Safety Requirements for Active Play Equipment - Securely Anchored,1
230,748.313(2) - Serious Incident critical injury resulting from short personal restraint-document short personal restraint and precipitating circumstances/behaviors,1
231,746.5617(a)(2) - Required Equipment in Vehicles - Emergency Medical Information,1
232,749.2593(a)(5) - Supervision-The caregiver is responsible for not performing tasks that clearly impede the caregiver's ability to supervise and interact with children,1
233,"744.3105(a)(3) - Prohibited Equipment - Trampolines - Except if Less Than 4 Feet, 12 Inches or Less Above Resilient Material",1
234,749.2605(b)(9) - Reasonable & prudent parent standard-must consider the supervision instructions in the child's service plan,1
235,749.2915 - Dangerous Tools-A foster home must store dangerous tools and equipment inaccessible to children; used by children with appropriate supervision,1
236,746.1316(a) - 746.1316(a) transportation safety training,1
237,748.2551(b)(2) - EBI Implementation-The caregiver must consider the permitted types of emergency behavior intervention,1
238,746.2401(3) - Basic Requirements for Infants - Holding and Comforting,1
239,747.3221(1) - Caregivers Must Wear Gloves When Handling Bodily Fluids,1
240,746.201(1) - Policies Comply with Rules,1
