NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_ID
"Proof of training in the following topics is lacking for the primary caregiver: 1) Preventing the spread of communicable diseases, including immunizations.  2) Administering medication. 3)  Preventing and responding to emergencies due to food and allergic reaction.  4)   Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic. 5) Handling, storing, and disposing of hazardous materials.",747.1107(a)(5) - Primary Caregiver in Licensed Home Qualifications - Proof of Training (A-J),Medium High,12/12/2016,1258785
There is sufficient evidence to support that the operation failed to administer proper first aid.,744.2577(2) - Critical Illness or Injury -Give First Aid or CPR,High,04/29/2016,721728
During the review of the victims file and after talking to the church Pastor it was found that an incident report was not completed relating to this investigation.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,09/01/2017,1187963
"Two caregivers hired after 9/1/16 lacked the following orientation training: (1) Administering medication(2) Preventing and responding to emergencies due to food or an allergic reaction(3) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic(4) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title(5) Precautions in transporting children if your center transports a child whose chronological or developmental age is younger than nine years old.",746.1303(a)(1) - Orientation-Minimum Standards,Medium High,08/04/2017,237810
A two month old infant has two bruises on the outer and inner left arm.  Medical professional determined the bruises were inflicted therefore ruled as abuse.,"749.1003(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",High,09/15/2016,163171
"It was determined the residents were not appropriately supervised by staff members on duty.  As a result, one resident was injured by a second resident.",748.685(a)(3) - Caregiver responsibility - being aware of and accountable for each child's on-going activity,High,05/26/2016,146266
The center failed to make a report when a 15 month old child fell and received a cut and had to go to the emergency room requiring him to get 3 stitches.  The parents were called immediately about the incident.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,01/24/2017,108010
Based on the information gathered the caregivers were using their cell phones in direct care of a group of children in the school age classroom when a child was injured and required medical treatment.,746.1203(6) - Responsibilities of Caregivers -Free of other activities,Medium High,02/04/2016,508928
It was determined after the investigation that the director did not report an incident where it was alleged that a child had an unexplained bruise on its back.,746.305(a)(5) - Report Situation Placing Children at Risk,High,07/06/2017,1152349
"The caregiver did not ensure the child was properly supervised. The child received several unknown bruises and scratches to his neck, elbows, and lower wrist area.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,01/20/2017,1010688
Caregiver did not demonstrate good judgment when he played rough with the children which resulted in some of them getting hurt.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,08/22/2017,125484
"During the course of the investigation it was determined, the parent was not notified timely of the incident that placed her child at risk for an injury. Incident occurred on 7/22/16 and the parent was notified 7/25/16.",746.307(a)(3) - Parental Communication - Situation that Placed a Child at Risk,Medium High,08/16/2016,94687
"Three personnel records reviewed for the current training year of 2016-2017 were lacking the following topics: 1) Emergency preparedness;   (2) Preventing the spread of communicable diseases, including immunizations;   (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and   (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1309(f) - Documented Annual Training- Required Content,Medium,01/23/2018,1009150
Operation staff failed to ensure the continuity of care when the child was transitioned several times when the child sustained the injury,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,Medium High,02/08/2017,196608
During an investigation it was found that a caregiver did not maintain audio and visual awareness of the children their in care.  The caregiver failed to intervene and a child in care sustained several injuries from another child in care.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,04/25/2017,159866
The operation did not report an incident in which a child required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/09/2016,705668
A child in care sustained non accidental bruising to the body.,"749.1003(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",High,09/09/2016,273849
"Two of the four children files reviewed was missing a statement of the childs special care needs. This includes, but is not limited to, allergies, existing illness, previous serious illness and injuries, hospitalizations during the past 12 months, and any medications prescribed for continuous, long-term use.",746.605(13) - Required Admission Information - Special Needs Statement,Medium High,05/27/2016,199970
A child received medical treatment and the operation did not report it to Licensing within the required 48 hours.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/02/2016,721728
"The Child Care Injury Report provided by the operation did not contain at least the same information as on the Licensing Incident/Illness Report form.  The Child Care Injury Report lacked time parent notified, parent's telephone number, child's physician information, and director's signature.  The Minor Mishap form provided by the operation did not contain the required information.",746.701(2) - Licensing Incident/Illness Report Form - Situations Placing Children at Risk,Medium,06/23/2017,96886
The director was notified by a parent that an incident occurred at the center involving a child. Medical services were called to the center. A report was not received by Licensing involving this incident.     Note: Reportable incidents were reitarated with the direcor at inspection.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/06/2017,353586
"Annual training for the following were not available: Preventing and controlling and responding to emergencies due to food or an allergic reaction, Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic, and Handling, storing, and disposing of hazardous materials.",746.1309(f) - Documented Annual Training- Required Content,Medium,12/05/2017,203357
"The operation called Licensing but left a message with the inspector, therefore the incident did not get reported within the correct time frame.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,07/28/2016,267052
"I observed an accordian gate around the AC Unit that had a visible hole that is accessible to infants, that could possibly lead to injury",746.2415(3) - Prohibited Equipment for Infants - Accordion Safety Gates,Medium High,11/14/2016,1193670
Anchoring devices for the center's playground covering were above the play surface.  The anchors could result in injury from a fall.  Picture taken.,746.4601(6) - Safety Requirements for Active Play Equipment - Anchoring devices Below Level of Playing Surface,High,08/02/2017,1256114
"A caregiver picked a child up by the arms and carried him across a classroom, which left bruises on his arms.",746.2805(1) - Prohibited Punishments - Corporal Punishment,High,09/11/2017,1267672
There are three broken toys observed on the playground which could cause injury to the chilren in care.  One is a playhouse with cracked plastic around the window of the structure.  A plastic toy car and a plastic toy horse also have cracks and missing pieces.  The toy structures were removed during inspection.,746.4601(3) - Safety Requirements for Active Play Equipment - No Entrapment Openings,High,03/29/2016,123915
Medical treatment had to been sought after a child injured himself while in care.  The operation did not report the incident to licensing.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,07/24/2017,646588
A caregiver grabbed a child by the arm causing a bruise.  The caregiver was trying to prevent the child from leaving the bathroom.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,06/22/2016,385029
A child was taken to the hospital for an injury that occurred at the center on 08/11/2017 and licensing was notified on 08/15/2017.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,08/24/2017,120064
"Three of the five children files reviewed were missing a statement of the childs special care needs. This includes, but is not limited to, allergies, existing illness, previous serious illness and injuries, hospitalizations during the past 12 months, and any medications prescribed for continuous, long-term use.",746.605(13) - Required Admission Information - Special Needs Statement,Medium High,07/21/2017,1155943
"Based on the information gathered during the investigation, it was determined that the form used to document the injury did not use the licensing form or a form that had the same information on licensing's incident report form.",744.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,07/28/2017,1113749
"Based on the information gathered during this investigation, good judgment was not shown by a caregiver when handling a discipline issue with a child. A caregiver who was holding on to a child by the arm let go of the child who was pulling away from the caregiver which caused the child to fall backward onto a storage cubbies leading to a child injury. The caregiver failed to follow individual discipline techniques for the child or to ask for assistance from the other teacher present in the classroom as children were being transitioned from the classroom to the neighboring classroom for diaper changes.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,09/15/2016,638388
A toilet seat was observed to be very loose due to a bolt missing which could cause a child to hurt themselves while trying to sit on it.  This was CORRECTED during the inspection by a new toilet seat replacing the broken one.,746.3701 - Safety - Areas Free From Hazards,Medium High,04/21/2017,922828
Licensing was not notified that children received medical attention within two days of the incident.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,01/19/2017,1247696
The operation failed to notify Licensing once the operation became aware that a child received medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/09/2016,1118781
Child in care had significant bruising on his lower back and buttocks and a fracture to his pinky finger consistent with inflicted trauma.,"749.1003(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",High,10/14/2016,273849
Based on the information obtained during the investigation it was determined that the center did not report an unsafe occurrence to Licensing. The report came from an outside source other than the center. The Unsafe Facility Occurrence was a basketball goal falling off the wall causing a serious injury to a caregiver. Children were present when the basketball goal fell on his head and he was transported via EMS to the hospital.,746.305(a)(1) - Report Unsafe Facility Occurrence,Medium High,04/14/2017,1234718
The standard was evaluated with regards to an investigation and was found not in compliance with the minimum standards rules for a licensed child care center.    Management failed to report an injury to a child that required medical attention to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,03/30/2017,1151595
"The playground equipment outside used for the pre-school children is falling apart and has sharp pieces on the slide. The rubber on a piece of climbing equipment is falling apart as well, which is  tripping hazard.    There is also a piece of equipment outside that is too close to the fence which is hazardous for children as the children can try to climb over the fence and get hurt.",746.3701 - Safety - Areas Free From Hazards,Medium High,12/31/2016,373840
"Orientation regarding ""building and physical premises safety"" did not include, protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic.",744.1303(b)(3) - Orientation-Building and Physical Safety,Medium,10/13/2017,100592
"Based on information obtained, a caregiver failed to use good judgement that lead to a child sustaining an injury requiring medical attention.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,02/15/2017,250833
A child in care was hit by a vehicle off campus.  The child called the operation for a ride and a caregiver at the operation did not pick the child up or arrange for the child to be picked up.  The child was injured from the accident.,748.685(d)(4) - Caregiver responsibility- Child may have unsupervised activity based on caregiver assessment and service plan; you must be available in an emergency,Medium High,05/10/2016,344357
A parent/guardian did not received notification of child's injury in a timely manner.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,08/29/2017,318137
"A caregiver did not demonstrate competency when she knowingly allowed children to stand on furniture and admitted she was aware if a child fell, they could be injured.     A caregiver also allowed children to stand on furniture which allowed children to remove and replace outlet covers.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,07/05/2017,1229439
This standard was evaluated as the result of a report that was called in and was found to be deficient.      A child received an accidental injury while in care and the parent took the child for medical treatment and the operation did not call in a report to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,10/05/2016,279315
"The caregiver failed to provide CPR when a child was not breathing, opting instead to blow in his face.",746.3607(2) - Critical Illness or Injury - Give First Aid or CPR,High,09/01/2017,235039
Two rolling gates were observed leaning against the fence inside the play area.  The gates could fall on a child causing injury.     There was a broken chair observed in the toddler room.  A child was observed sitting and rocking in the broken chair.,746.3701 - Safety - Areas Free From Hazards,Medium High,01/05/2017,1254612
The agency did not report a serious incident to the Child Abuse Hotline within 24 hours.,749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,08/25/2016,104784
The air conditioning vent in the backyard does not have a safeguard and was accessible to the children at inspection. Children can put their hands inside it and get hurt.   (Khong co hang rao can bao chung quanh may lanh o san sau),"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,02/17/2017,231445
A report was not made to the parent of the child going to the hospital within the 24 hour period. When the parent was contacted by Licensing they were unaware of the accident.,749.503(a)(2)(B) - Serious Incident-Report to parents no later than 24 hours after injury or illness that warrants treatment by medical professional/hospitalization,Medium,06/20/2017,526889
a hospitalization was not reported within 24 hours,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,06/16/2017,1256064
A child was injured in care due a caregiver not being aware of the ongoing activities of some of the children they were responsible for. The children. The caregiver noticed a problem between the children and did not intervene and separate the children before further harm was done. The caregiver did not see how the child was injured.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,02/22/2016,287098
The incident was not reported to Licensing until 3 days after the operation was notified of the outcome of the doctor's visit.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,04/14/2016,264714
Information obtained during the investigation revealed that caregivers were not in close proximity of the child when an injury occurred.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,10/28/2016,118631
Evidence gathered supports there were at least two fights between children of varying ages that resulted in injuries. Staff did not consistently intervene and provide additional oversight to reduce risk to children.,748.685(a)(4) - Caregiver responsibility - providing the level of supervision necessary to ensure each child's safety and well-being,High,04/07/2017,1169501
The inicident report used did not contain informaiton that Child Care Licensing was notified.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,06/07/2017,930340
The air conditioners positioned along the sidewalks where children have access did not have proper safeguards. The center had installed a screen mesh over the tops of the air conditioners. The mesh was pulling up on the sides and could cut and injure a child.,"746.3701(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,03/18/2016,717408
"During the investigation, it was identified that a caregiver injured a child while in care. The daycare was made aware of the incident on the same day, however, they did not notify licensing until 5 days later leaving other children at risk.",746.305(a)(5) - Report Situation Placing Children at Risk,High,07/08/2016,717408
"Based on the information provided during the investigation, through interviews conducted and documents provided, there is sufficient evidence to support that DFPS was not notified when a child was hurt while in care and required medical attention.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,04/13/2017,1123451
The infant playground had a few silver bolts sticking out from the black border which could cause an injury for a child if a fall was to occur.  This was CORRECTED when the director hammered them back into the black border.    The rug in the 18-24 month old rug had several small areas that appeared to be stain/soiled.       There was  a crack observed  to be sharp to the touch on the Little Tykes plastic playhouse in the 18-24 month old room.  This CORRECTED when the director placed tape over it.    A tumble mat was observed to have a few tares starting on each corners.  This was CORRECTED  when the director disposed of it.,"746.3407 - Maintenance of Building, Grounds and Equipment",Medium High,02/09/2016,1118878
Parents were not immediately notified when a child in care sustained an injury that required medical treatment while at the center.,746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,03/01/2017,434528
"Although the procedures for completing, sharing, and signing the Licensing incident/ illness report form were found in compliance; the information detailing where and how the incident occurred was not complete, accurate information. On 3 of the Licensing incident/ illness report forms the information provided to parents was: ""Stroller went off side walk."" On 1 of the Licensing incident/ illness report forms the information provided to that parent was: ""Stroller went off side walk and tipped over.""  The information provided does not detail where the incident happened and how the incident happened.     Place of incident is not accurate information. The Licensing incident/ illness report form states that the incident occurred outside on front porch.",746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,03/03/2017,355926
"Collateral sources and child in care interviews consistently indicate care givers react at the point of imminent injury, but are slow to intervene in high risk behaviors leading up to the moment of injury. Investigation interviews reveal staff offered verbal redirection for consistent behaviors, without consequences, while a child in care disregarding verbal redirection and went on to injure another child in care.",748.685(a)(4) - Caregiver responsibility - providing the level of supervision necessary to ensure each child's safety and well-being,High,10/27/2017,276920
"The program director was notified that a child saw a doctor on February 24, 2017.  The operation did not report the issue to Licensing until March 1, 2017.",744.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,03/10/2017,138620
"Based on the information obtained through investigation inspection and the review of documentation it was observed that the operation/caregiver did not provide adequate supervision. By not providing supervision, the risk of injury/harm to the child was increased.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,03/15/2017,282627
"The record of the employee hired 5/23/16 did not include training in the following:   (1) Emergency preparedness;  (2) Preventing the spread of communicable diseases, including immunizations;  (3) Administering medication;   (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury;  (6) Handling, storing, and disposing of hazardous materials.",746.1309(f) - Documented Annual Training- Required Content,Medium,10/04/2017,1138216
A large metal box with pointed corners was observed on the side of the building in a fenced outdoor area to be used by children. The box is installed at a height where a child could bump into the corner of the box causing injury. This was discussed with the director/ owner during the inspection.,746.4751(c) - Maintenance Procedures for Active Play - Hazards Removed or Repaired,Medium High,03/31/2016,1239091
"I observed a tray like table in the area  with a lap top on top of it where children are being cared for, that could easily topple over and cause a child to become injured.     Further in the kitchen area which is accessible to children in care the bottom stove is broken and presents a risk to the child for cutting their hands.     Addtionally I observed plugs around the living room that were not covered.",747.3501 - Safety - Areas Free From Hazards,Medium High,11/13/2015,1157776
"Due to a caregiver not using good judgment, a child in care was injured and required medical treatment.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,09/06/2017,513068
One piece of outdoor equipment equipped with springs and provides a rocking motion is lacking surfacing to reduce injury with any fall.,746.4901(a) - Active Play Surfacing In Use Zones - Loose Fill or Unitary Surfacing,Medium High,03/23/2017,941988
This standard was evaluated with regard to an investigation. It was determined that a child was not properly supervised for approximately 1-2 minutes; the child was left alone in the classroom while the rest of the class went outside to the playground. The child was not injured.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,11/27/2017,97454
"During this inspection playground structures had missing screws, nuts and bolts. This structure can lead to injuries.    The wood frame on the ground holding the loose fill needs to be replace due to it being broken.     There are a two nails sticking out half  inch from the bottom picket fence near the gate door to the back ally.",746.4751(b) - Maintenance Procedures for Active Play - Monthly Maintenance Checklist,Medium,02/25/2016,104839
The parent was not notified of the injury until approximately 2 hours after it occurred.    This was CORRECTED AT INSPECTION when notifications were reviewed with the Assistant Director.,746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,07/29/2016,611108
"Interviews were conducted and documentation was evaluated. It was determined that an incident that occurred while in care, and required medical treatment, was not reported to DFPS - Child Care Licensing.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,04/21/2016,322389
"Based on the information gathered, the staff did not take any precautions after a child was already injured on this particular equipment a few days before.  Supervision was not appropriate if a child was not seen jumping on this spinning wheel while another child was already on it which caused the child to fall off hurting his arm.",744.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,08/15/2016,1038148
"Based on the information gathered and obtained during this investigation, operation staff failed to immediately notify a child's parent of an injury which occurred while in care at the operation and required medical attention.",746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,07/08/2016,1066088
A child sustained a laceration that required a suture.  This was not reported to licensing.,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,06/23/2015,224905
A child had a serious medical issue that required emergency medical treatment.  This was not reported to Licensing.,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,02/03/2017,1249442
"Based on information obtained, a caregiver failed to use good judgment and self-control when disciplining a child causing the child to sustain injuries.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,04/12/2017,368145
"During the inspection, I observed that staff did not ensure the children were not out of control.  During the inspection, I observed multiple occasions of several children running through the cafeteria.  During the inspection, I observed children standing on the cafeteria benches, pulling each other on the cafeteria benches, and throwing items into the air.  I observed a child filling a plastic ziploc bag with water from the water fountain, water puddling onto the floor, and then the child drinking out of that plastic bag.  Outside, I observed the child playing on the climbing structure and slide with the same ziploc bag that still had some water inside and after I asked the caregiver about this, she addressed it and took the bag from the child.  Outside, I observed children hanging from the outside of the first turn of the slide and dropping down to the ground.  Outside, I observed two children climbing up the outside of the climber on the climbing structure.  During the inspection, I had to step in to redirect two children to prevent a fight and possible injury.    I observed two children playing tug of war with a bulletin board border strip on the stairs of the stage and this was corrected by caregivers after a several minutes as I was going over to the children.  I observed a child sitting and shooting spit wads and after a few minutes this was addressed by a caregiver.",744.1203(5) - Responsibilities of Caregivers - Children in Control,Medium High,04/07/2016,151862
"The records of employees hired on 3/30/17 and 4/5/17 did not include the required orientation.  Lacking was orientation in the following:  (1) Administering medication;   (2) Preventing and responding to emergencies due to food or an allergic reaction;  (3) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (4) Handling, storing, and disposing of hazardous materials.",746.1301(a)(1) - Training Requirements for Employees - Orientation,Low,05/26/2017,501175
This standard was evaluated in regards to a report and was found to be deficient. A child received a serious injury and no one saw or knew the child was injured in care until the injury was presented by a parent.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,08/17/2016,1189929
Based on information gathered during an investigation it was determined that a caregiver grabbed a child by the arm as a form of redirection resulting in an injury to the child's arm.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,High,08/02/2017,352215
A caregiver used physical discipline with a child in care which resulted in the child sustaining injuries.,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",High,06/19/2017,1152067
There is sufficient evidence to suggest that a parent was not immediately notified of a injury to their child which resulted in the child's hair being pulled out.,746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,05/06/2016,1118669
The operation notified child care licensing office on 8/11/2016 by mail regarding a serious incident which occurred on 8/5/2016 that required medical attention. Licensing was notified four business days after this incident occurred when no later than two days are allowed.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,10/17/2016,661228
"This deficiency was not corrected.  The record of the employee hired 5/23/16 did not include training in the following:   (1) Emergency preparedness;  (2) Preventing the spread of communicable diseases, including immunizations;  (3) Administering medication;   (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury;  (6) Handling, storing, and disposing of hazardous materials.",746.1309(f) - Documented Annual Training- Required Content,Medium,11/01/2017,1138216
"The orientation does not contain preventing and responding to emergencies due to food or an allergic reaction; understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; or handling, storing, and disposing of hazardous materials.",746.1301(a)(1) - Training Requirements for Employees - Orientation,Low,04/27/2017,1272671
"Based on information obtained, there is sufficient evidence to conclude that the operation did not notify Child Care Licensing after the incident occurred.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/18/2016,1156303
The director was notified by a parent that an incident occurred at the center involving a child. Medical services were called to the center. A report was not received by Licensing involving this incident.     Note: Reportable incidents were reitarated with the direcor at inspection,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/06/2017,353586
Based on the evidence obtained during the investigation parents are not being communicated at pick up verbally or in writing regarding less serious injuries.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,11/23/2016,252512
The agency failed to report a child injury in a timely manner.,749.503(a)(2)(B) - Serious Incident-Report to parents no later than 24 hours after injury or illness that warrants treatment by medical professional/hospitalization,Medium,12/21/2017,1095142
This standard was evaluated as part of an investigation and found to be deficient. A child was injured while in care and no incident report form was given to the parent.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,03/23/2016,96452
"It was found that the operation failed to report an incident of a child being injured while in care, requiring medical attention.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,09/28/2017,753149
The pea gravel in the large outdoor has has been reduced due to usage and weather. The amount of pea gravel under and around the climbing structure is less than six inches. The amount must be increased to six nches to reduce the risk of injury to children if they fall and the poles must be marked at the six inch level so that staff will know when the amount of pea gravel is not sufficient.,746.4907(a)(1) - Installation and Maintenance of Loose-fill Surfacing - Six Inches if Equipment 5 Ft or Less,Medium High,09/11/2017,265578
Incident involving child receiving medical treatment was not reported to licensing.     NOTE: This was corrected at inspection by information being obtained regarding injury.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/15/2017,287197
Child in care sustained a bump and bruise to the forehead in which caregivers could not provide an explanation. Caregivers were not aware of child's on-going activities as the child was able to sustain an injury without their knowledge.,749.2593(a)(2) - Supervision-The caregiver is responsible for being aware of and accountable for each child's on-going activity,High,09/13/2016,273495
"Based upon the information that was received and reviewed throughout the course of the investigation it was determined that the Licensing incident/ illness report form was lacking information on the date and time the incident occurred, the date the parent was notified, and the child's doctor's information.",746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,07/25/2016,915997
