NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_NAME,OPERATION_ID,NON_COMPLIANCE_ID,LOCATION_ADDRESS
Based upon the information obtained during the investigation proper supervision was not being maintained when a child was injured while in care. Four caregivers did not maintain physical proximity necessary to intervene when necessary when a child was injured while being supervised by all four caregivers.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,08/16/2017,The Littlest Ones School,1114330,1270121942,8955 SOUTH FWY  HOUSTON TX- 77051 2362
"Based on information obtained it was determined that proper supervision was not maintained when a child sustained a injury during outside play time, that required medical attention.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,10/30/2017,The W.I.D.E School,1244538,1270131068,2777 DULLES AVE  MISSOURI CITY TX- 77459 2984
Based on the information obtained during the investigation the children were not being supervised when a child was injured on the playground. The caregiver was at the door of the center with other children and was not watching the children that were playing on the equipment.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,11/10/2017,Xplor- W Rayford,1249733,1270108267,8615 W RAYFORD RD  SPRING TX- 77389 4867
Supervision of the children was not appropriate as school age children were involved in rough play and the caregiver did not intervene as she had her back towards the class while she cleaned a table.  This caused an injury to a younger child as the children were combined in the class.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,09/18/2017,The Next Step Daycare LLC,1258548,1270110587,13316 OCONNOR RD  SAN ANTONIO TX- 78233 5447
The caregivers were not aware of a child climbing on the structure or aware she fell causing the injury to her arm.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,12/27/2017,Lumin Bachman Lake Community School,1267605,1270112443,9507 OVERLAKE DR  DALLAS TX- 75220 5925
"It was alleged that a child was out of control and kicked and hit another child on the bus while the driver did nothing to intervene.  Based on the information gathered during the investigation, the driver made the decision to wait until they arrived at their destination to intervene since they were so close, but had verbally told the children to behave.  As a result of waiting to intervene, a child received numerous scratches and bruises.  The driver involved is no longer working at the center.  The remaining staff received a training on supervision on August 12th after the incident.",746.1203(5) - Responsibilities of Caregivers - Children in Control,Medium High,08/24/2017,Big Dreams & Lil' Wonders Academy,194662,1270139407,11010 PERRY RD STE C HOUSTON TX- 77064 4603
"During the course of this investigation, it was determined that a caregiver did not interact in a positive manner with a child when the caregiver was seen on camera taking a child out of the chair which resulted in the child falling and injuring themselves.",746.1203(7) - Responsibilities of Caregivers - Interact positively with children,Medium High,11/22/2017,Just Kids Christian Learning Center and Child Care,251638,1270163802,6204 PRUE RD  SAN ANTONIO TX- 78240 2035
A caregiver in charge of a child who sustained an injury did not have a signed completed orientation on file as required.,746.1301(1) - Training Requirements for Employees and Caregivers - Orientation,Low,01/15/2018,Oak View Academy Montessori and Traditional Education,692588,1269929394,6804 ANDERSON DR  THE COLONY TX- 75056 3515
"The operation's orientation did not include understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic.",746.1303(b)(3) - Orientation-Building and physical safety,Medium,09/29/2017,Beautiful Minds Learning Center,869931,1269992648,100 OBLATE  SAN JUAN TX- 78589
"3 staff and director's records were evaluated and all three staff did not have the required content which are emergency preparedness, preventing the spread of communicable diseases, including immunizations, Administering medication, preventing and controlling and responding to emergencies due to food or an allergic reaction, understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and handling, storing, and disposing of hazardous materials at the time of inspection.",746.1309(f) - Documented Annual Training- Required Content,Medium,04/21/2017,Small World Educational Center,1096562,1270014519,5601 PASO REAL DR  BROWNSVILLE TX- 78521 7110
"This deficiency was not corrected.  The annual training of the director did not include the following topics:  (1) Emergency preparedness;  (2) Preventing and controlling the spread of communicable diseases, including immunizations;  (3) Administering medication;  (4) Preventing and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (6) Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,01/22/2018,Grace Kidz World Academy  #2,108664,1270176428,14325 CRESCENT LANDING DR  HOUSTON TX- 77062 2178
"This correction of this deficiency was not completed. The annual training of the director did not include training in the following  required topics:  Preventing and responding to emergencies due to food or an allergic reaction;  Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,08/29/2017,Southbelt Montessori Learning Center,447548,1270021592,12495 SCARSDALE BLVD  HOUSTON TX- 77089 6137
"The director was missing annual training on the following topics: (1) Emergency preparedness; (2) Preventing and controlling the spread of communicable diseases, including immunizations; (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?); (4) Preventing and responding to emergencies due to food or an allergic reaction; (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1311(f) - Director Annual Training - Additional required topics,Medium,11/20/2017,Kids Castle Learning Center & Child Care LLC,644528,1269860737,2900 S CAGE BLVD STE A PHARR TX- 78577 1400
"Director was missing training hours in:  (1) Emergency preparedness;     (2) Preventing the spread of communicable diseases, including immunizations;     (3) Administering medication.    (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;    (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and     (6) Handling, storing, and disposing of hazardous materials.    RECITE.",746.1311(f) - Director Annual Training - Additional required topics,Medium,08/18/2017,Tiny Texans Academy,1155943,1269958302,3001 N WESTGATE DR  WESLACO TX- 78599 4195
"During the course of this investigation, it was determined that a staff member did not use postive methods of discipline and guidance when they grabbed a child by the arm to get them to stop running; this resulted in the child sustaining a bruise.    Note: This was CORRECTED AT INSPECTION when the director informed Licensing that the staff member is no longer present",746.2803 - Positive Methods of Discipline and Guidance,Medium High,01/17/2017,Castle Hills Learning Center and Daycare #1,139979,1270149702,8030 BLANCO RD  SAN ANTONIO TX- 78216 3702
The caregiver at the operation used harsh punishment with a child in care resulting in an injury.,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",High,07/07/2017,Country Campus INC,140507,1270149769,801 W OLIVE ST  HOLLIDAY TX- 76366
"A caregiver picked a child up by the arms and carried him across a classroom, which left bruises on his arms.",746.2805(1) - Prohibited Punishments - Corporal Punishment,High,09/11/2017,Kiddie Academy of Aliana,1267672,1270112450,11107 BINION LANE  RICHMOND TX- 77407
A child in care was critically injured when forcefully struck in the head by a caregiver.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,High,02/25/2016,Shining Stars Daycare Center,369515,1270175948,1612 SIMMONS AVE  JOURDANTON TX- 78026 2752
The center failed to notify licensing when a parent informed them that a child had been taken for medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/07/2016,Kountry Klub,207860,1270145121,1853 E FM 2369  UVALDE TX- 78801
The operation failed to timely report an incident to a child that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/06/2017,Good Foundations Learning Center,210319,1270147373,1200 N STADIUM RD  ALICE TX- 78332 3956
The operation did not report an incident to licensing  when the parent informed the operation they were taking their child to the doctor due to the injuries the child sustained while in care at the operation.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,01/20/2017,Holy Family School,252936,1270164013,500 THROCKMORTON ST  MCKINNEY TX- 75069 2322
Based on the information gathered the operation did not report a child receiving medical treatment within the required timeframe.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/13/2017,Kidz Stop,280485,1270139770,804 S 17TH ST  TEMPLE TX- 76504 5459
Operation did not report injury requiring medical attention in a timely manner.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,11/01/2016,Academy Christian School,362320,1270038437,501 ACADEMY BLVD  FORT WORTH TX- 76108 4801
"It was found that the operation failed to report an incident of a child being injured while in care, requiring medical attention.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,09/28/2017,Powersports,753149,1270165445,10810 STATE HIGHWAY 30  COLLEGE STATION TX- 77845 7935
Child Care Licensing was not notified of the child's injury within the 48 hour time frame.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,04/26/2016,Pre-K 4 SA - South Education Center,1118308,1270123100,7031 S NEW BRAUNFELS AVE  SAN ANTONIO TX- 78223 4587
"This standard was evaluated with regards to a received report and found to be deficient. Even though the incident involving the injury noted on this report was reported , Information gathered indicated that a previous incident involving the child obtaining medical care for a fall at the center was not reported to Licensing.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/27/2016,Loma Learning Center,1154666,1270109877,702 LOMA ST  ALICE TX- 78332 5947
Based on the information obtained there is sufficient evidence to support that the operation failed to report to licensing an injury to a child that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/22/2017,The Castle Childcare Center,1155027,1270109931,1012 HIGHWAY 3  LA MARQUE TX- 77568 5901
The operation did not notify Licensing of an injury that required medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,07/05/2017,Leaders Bilingual Academy,1170541,1270115837,1600 VICEROY DR  DALLAS TX- 75235 2311
This standard was evaluated regarding a report received and found to be deficient. A child in care received an injury which required further medical attention. Child Care Licensing was not notified of the incident.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,09/21/2016,Sunnyside Kampus LLC,1181229,1270118417,647 TX STATE HIGHWAY 62  BUNA TX- 77612 6469
This standard was reviewed in relation to the self-reported allegation and found to be deficient. The notification to licensing was made 5 days after the incident occurred.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,01/04/2017,Browning Learning Academy,1258796,1270110602,900 MEDICAL DR  TYLER TX- 75701 2129
A child obtained an injury that resulted in medical attention in August and licensing was not notified.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,10/16/2017,Impact Daycare Center,1274188,1270114172,1108 DALLAS DR  DENTON TX- 76205 5123
It was determined after the investigation that the director did not report an incident where it was alleged that a child had an unexplained bruise on its back.,746.305(a)(5) - Report Situation Placing Children at Risk,High,07/06/2017,Lionheart Children's Academy -LABC,1152349,1270108034,2912 LITTLE RD  ARLINGTON TX- 76016 1725
During an investigation it was found that the operation did not report to parents a concern that a child was hurt at the center by inappropriate discipline.,746.307(a)(3) - Parental Communication - Situation that Placed a Child at Risk,Medium High,08/05/2016,Lake Hills Montessori,160552,1270168484,600 N CUERNAVACA DR  AUSTIN TX- 78733 3212
This standard was evaluated as part of an investigation and found to be deficient. Parents were not notified when their child was injured in while in care,746.307(b) - Parental Notification of Less Serious Injuries,Medium,12/23/2016,Charlottes Web Too,249652,1270161527,965 W 6TH ST  RUSK TX- 75785 1184
A caregiver at the operation failed to notify parents that a child in care was dropped on accident.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,07/20/2017,La Branch Child Development Center,289693,1270145340,2320 LA BRANCH ST  HOUSTON TX- 77004 1002
There is sufficient evidence to find that staff are not properly notifying parent of children's injuries.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,04/27/2016,Central Faith Child Development Center Inc,300787,1270153794,5720 BAGBY AVE  WACO TX- 76712 6930
A parent/guardian did not received notification of child's injury in a timely manner.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,08/29/2017,Miles Ahead Child Care Development Center,318137,1270161778,3301 E RANCIER AVE STE 111B KILLEEN TX- 76543 7811
"Based on interviews with staff, children, and parents there is sufficient evidence that suggests the parents were not notified of the injury that happened while on the field trip.",746.307(b) - Parental Notification of Less Serious Injuries,Medium,08/05/2016,Second Baptist Preschool,322530,1270162349,2517 SAM HOUSTON AVE  HUNTSVILLE TX- 77340 6154
Based upon the information that was received and reviewed throughout the course of the investigation it was determined that the parent was notified about their child receiving a scratch from another child when their child told one of the owners about the incident occurring.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,06/06/2016,Apple Tree Day School,355926,1270170616,18 SCENIC LOOP RD # 100 BOERNE TX- 78006 8606
"Based on information obtained, there is sufficient evidence to conclude that a parent was not notified when an incident occurred with their child at the operation.",746.307(b) - Parental Notification of Less Serious Injuries,Medium,04/28/2017,Gifted and Talented Kid's Academy,608688,1270157182,14551 CULLEN BLVD STE B HOUSTON TX- 77047 5717
The operation did not notify a parent of their child's busted lip at pick up the day the injury occurred.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,06/21/2017,ABC Children's Learning Center,998928,1270111103,8385 ANTOINE DR  HOUSTON TX- 77088 2503
At an investigation it was found that a parent had not been notified when the child received an injury to the lip.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,03/21/2017,Kingdoms Treasure's Learning Center,1237795,1270127608,3603 ZEPHYR RD STE 100 KILLEEN TX- 76543 5594
The daycare center has a flat screen television that is not anchored and can potentially tip over causing injury to a child in care.,746.3701(9) - Safety - Televisions Anchored to Prevent Tip Over,Medium High,12/11/2017,A-1 Montessori Academy,1280711,1269994182,12805 WESTHEIMER RD  HOUSTON TX- 77077 5724
During the course of this investigation it was determined that a broken table was left to use in a classroom which resulted in a child being injured.,"746.4501 - Tables and Chairs Safe, Easy to Clean and Appropriate in Size",Medium,02/21/2016,Childrens Day Out,728788,1270165013,1001 E MCCART ST  KRUM TX- 76249 5635
There was a crack at the top of one of the slides on the playground that could cause an injury to a child.,746.4601(3) - Safety Requirements for Active Play Equipment - No Entrapment Openings,High,01/06/2017,Lil' Munchkins,268365,1269980932,4704 SAN PEDRO AVE  SAN ANTONIO TX- 78212 1438
"A three year old child received an injury to the foot when she jumped from the deck of a slide which measured 5'ft 6"" inches.",746.4607(b)(2) - Maximum Height - Under Age 5,Medium High,09/25/2017,Aledo Country  Day  Academy,157957,1270165967,117 CROCKETT ST  ALEDO TX- 76008 4443
There was a toy on the playground with a broken yellow competent in the middle. The yellow component was sharp and could easily cause an injury to child who utilizes the toy.,746.4751(c) - Maintenance Procedures for Active Play - Hazards Removed or Repaired,Medium High,06/27/2016,Ms Idas Child Care Center,154330,1269874968,1511 E LEAGUE ST  WACO TX- 76704 2835
The climbing playground equipment  that the child was playing on at the time of injury was found to be loose and not secure in the ground and could have caused the child to slip and lose footing resulting in his injury.,746.4751(c) - Maintenance Procedures for Active Play - Hazards Removed or Repaired,Medium High,08/22/2016,Martin Luther Lutheran Church Day School,261332,1270166997,573 N MAIN ST  GIDDINGS TX- 78942 1917
Observed the following hazards on the playground used by the children in care.    Observed play structure was not anchored on the playground.    Observed trees limbs hanging on the playground along the fence line that needs trimming.    Observed broken toys on the playground that need to be removed.  The broken toys could cause injury to a child. The broken toys were removed at the inspection.    Observed (3) ant piles on the playground it has been raining and children have not be out.    Observed the fence on the playground area in need of repair at inspection.,746.4751(c) - Maintenance Procedures for Active Play - Hazards Removed or Repaired,Medium High,11/25/2016,"Primary Care Learning Center, LLC",1143008,1270042788,1604 FLORENCE RD  KILLEEN TX- 76541 7986
Observed the hazards on the outside play area.     1. Wooden playscape with worn areas that are a potential hazard for injury such as splinters.    2. Outside bouncer equipment with a broken seat with sharp edges which could cause a potential injury to a child.    3. A toy with broken part with sharp edges. The toy was removed at the inspection.    4.  Tires with debris such as leaves and standing water.  The leaves are hiding places for insects or rodents.,746.4751(c) - Maintenance Procedures for Active Play - Hazards Removed or Repaired,Medium High,05/23/2017,"Idea Bilingual Preschool, LLC",1164095,1270048039,1303 TRIMMIER RD  KILLEEN TX- 76541 8034
"The outdoor play area does not have any surfacing material in the use zone, which can decrease the amount of injuries that may occur.",746.4901(a) - Active Play Surfacing In Use Zones - Loose Fill or Unitary Surfacing,Medium High,04/21/2017,Smarty Pants Preschool & Daycare #2,1244230,1270047933,13214 LONG GLEN DR  HOUSTON TX- 77039 2500
This standard was reviewed as part of the self reported allegations and found to be deficient. The form used by the operation to document injuries did not contain all of the required information.,746.603(a)(7) - Children's Records - Incident/Illness Form,Medium,07/14/2017,Noah's Ark Daycare,1271170,1270112704,913 SE FRONT ST  NEW BOSTON TX- 75570 3280
"Three of the five children files reviewed were missing a statement of the childs special care needs. This includes, but is not limited to, allergies, existing illness, previous serious illness and injuries, hospitalizations during the past 12 months, and any medications prescribed for continuous, long-term use.",746.605(13) - Required Admission Information - Special Needs Statement,Medium High,07/21/2017,Tiny Texans Academy,1155943,1270086826,3001 N WESTGATE DR  WESLACO TX- 78599 4195
"Two of the four children files reviewed was missing a statement of the child's special care needs. This includes, but is not limited to, allergies, existing illness, previous serious illness and injuries, hospitalizations during the past 12 months, and any medications prescribed for continuous, long-term use.  RECITE.",746.605(13) - Required Admission Information - Special Needs Statement,Medium High,09/15/2017,ABC Smart Start Learning Academy,1272272,1269859801,401 HOOKS AVE STE G DONNA TX- 78537 3088
"The investigation revealed that an incident report signed by the parent was completed.  However, the incident report for an injury requiring medical attention was not documented on a form that included the required information.",746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,05/02/2016,Alvin Community College Child Development Laboratory School,95626,1270098565,3110 MUSTANG RD  ALVIN TX- 77511 4807
"The operation completed a boo-boo form regarding an incident which occurred at the operation; however, when medical attention is required, the Licensing Incident/Illness Report Form must be completed.",746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,06/05/2017,Kids R Kids Richardson,706428,1270162730,3521 NORTHSTAR RD  RICHARDSON TX- 75082 2607
"An incident report did not have the parent signature, as required. The report was for an incident in which a child required medical attention for a hand injury.",746.707 - Incident/Illness Report Form Shared with Parent,Medium,05/15/2017,Our Kids Treehouse,100830,1270103215,1106 COLQUITT RD  TERRELL TX- 75160 1424
An incident report was not completed for an injury that required medical attention.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,12/14/2016,,308369,1270156627,
An incident report was not provided or shared with a parent after a child was injured at the operation.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,04/26/2017,Happy Jack's Learning Center,1151428,1270107673,3325 JUNCTION HWY  INGRAM TX- 78025 3267
"The primary caregiver has not recieved the required proof for training hours.    Recognizing and preventing shaken baby syndrome and abusive head trauma;      Understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS);    Understanding early childhood brain development;      Emergency preparedness;  Preventing and controlling the spread of communicable diseases, including immunizations;    Administering medication, if applicable, including compliance with ?747.3603 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);    Preventing and responding to emergencies due to food or an allergic reaction;    Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic;    Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?); and    Precautions in transporting children if your child-care home plans to transport a child whose chronological or developmental age is younger than nine years old.",747.1007(7) - Primary Caregiver in a Registered Home Qualifications-Proof of Training in Required Topics (A-J),Medium High,05/31/2017,Tasha Lynch,1276978,1269983817,1617 WRIGHT STREET  SAVANNAH TX- 76227
"The primary caregiver did not have proof of training in the following: (A) recognizing and preventing shaken baby syndrome and abusive head trauma; (B) understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS); (C) understanding early childhood brain development; (D) emergency preparedness; (E) preventing the spread of communicable diseases, including immunizations; (F) administering medication; (G) preventing and responding to emergencies due to food and allergic reaction; (H) understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (I) handling, storing, and disposing of hazardous materials.",747.1107(a)(5) - Primary Caregiver in Licensed Home Qualifications - Proof of Training (A-J),Medium High,04/17/2017,Helotes Stay & Play,1273158,1269886208,9423 LLANO VERDE  HELOTES TX- 78023 4156
"A caregiver had not completed training in the following topics:    (1) Emergency preparedness  (2) Preventing and controlling the spread of communicable diseases, including immunizations   (3) Preventing and responding to emergencies due to food or an allergic reaction  (4) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic, and   (5) Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",747.1305(e) - Caregivers Required Annual Training-Required Topics without hour restriction,Medium,11/09/2017,Babytime,305712,1269992986,4519 JAYMAR DR  SUGAR LAND TX- 77479 5227
"Primary caregiver did not have the following annual required special topics available for review:   (1) Emergency preparedness; (2) Preventing and controlling the spread of communicable diseases, including immunizations; (3) Administering medication, if applicable, including compliance with ?747.3603 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?); (4) Preventing and responding to emergencies due to food or an allergic reaction; (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (6) Handling, storing, and disposing of hazardous materials.",747.1309(e) - Primary Caregiver Annual Training - Required Special Topics without specific hours,Medium,10/18/2017,Christie's Little Angels Day Care,202319,1269991161,1510 OAKS PL  EDINBURG TX- 78539 7320
"The primary caregiver left a group of children from the ages of 13 months to 4 years old unsupervised in a room for about 15 minutes on 1/8/2015, while she was in the kitchen preparing lunch. During the time that the children were unsupervised an infant in care was injured.",747.1501(c)(4) - Additional Responsibilities of Caregivers- Supervision of Children Adjusting Appropriately for Different Ages and Abilities,High,01/14/2015,SELMA MARIE BAKER,120385,1270138724,11340 SUBURBAN RD  HOUSTON TX- 77016 1558
"Based on information obtained, the operation failed to notify licensing in a timely manner of an injury to a child in care that required medical attention as required by the minimum standards.",747.303(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,07/21/2017,Marci Mitchell,1230238,1270125609,1429 PIKES PEAK  MESQUITE TX- 75149 1751
There is a metal fan that is mounted within a childs reach in which the spacing of the protective housing is wide enough for a finger to become injured.,747.3501 - Safety - Areas Free From Hazards,Medium High,06/20/2017,Amanda Brinkley,1153286,1270052266,132 WESTERN DR  WACO TX- 76712 2764
The air conditioning vent in the backyard does not have a safeguard and was accessible to the children at inspection. Children can put their hands inside it and get hurt.   (Khong co hang rao can bao chung quanh may lanh o san sau),"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,02/17/2017,Thu Tram T Thach,231445,1270043216,13319 ALBELIA MEADOWS DR  HOUSTON TX- 77083 7903
"The air conditioner located in the backyard, which will be accessible to the children, is not safeguarded to prevent injury to a child. Note: A picture was taken of the air conditioner.","747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,08/02/2016,Freida Lauretta Greene,1251697,1269940226,423 HOLLYVALE DR  HOUSTON TX- 77060 5423
A incident report was not completed when a child broke his leg while in care.,747.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,02/13/2015,Carol Lamkin,218135,1270150227,495 COUNTY ROAD 397  GAINESVILLE TX- 76240 1055
