OPERATION_NAME,LOCATION_ADDRESS,COUNTY,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,NARRATIVE,TECHNICAL_ASSISTANCE_GIVEN,OPERATION_TYPE
Peaceful Images Child Development Center LLC,875 W PLEASANT RUN RD  LANCASTER TX- 75146 1445,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/24/2017 12:00:00 AM,There was a caregiver that took a child by the arm and pulled him into the hallway and the force of the pull made the child's leg come off the ground.  The other incident a caregiver took a child with his arms behind him and drug him down the hallway and would not let him go.,NO,Licensed Center
Greenbrier School,5701 WEDGWOOD DR  FORT WORTH TX- 76133 2540,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/20/2017 12:00:00 AM,"Based on information obtained and observations made by a DFPS Investigator, during an investigation conducted at your operation, it was determined that this standard was deficient.  A caregiver used inappropriate discipline by grabbing a child by the wrist and forcing her to pick up papers.",NO,Licensed Center
Primrose School of Bedford,3916 CENTRAL DR  BEDFORD TX- 76021 2684,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/27/2017 12:00:00 AM,"It was determined after reviewing the video footage and also reviewing the termination notice for the caregivers that harsh, cruel and unusual punishment was used by the caregivers on children in care. Caregivers were observed grabbing and pulling children abruptly by his arms and then picking one child up by one arm to move him.",NO,Licensed Center
Primrose School of Bedford,3916 CENTRAL DR  BEDFORD TX- 76021 2684,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/01/2017 12:00:00 AM,A caregiver used harsh treatment as a form of discipline.,NO,Licensed Center
Sonshine Ministries,10201 JERRY DUNN PKWY  BENBROOK TX- 76126 4580,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,09/15/2017 12:00:00 AM,A caregiver used a ruler as an instrument to hit and threat the children in care.,NO,Licensed Center
Excelsior Learning Academy,10540 S POST OAK RD  HOUSTON TX- 77035 3306,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,12/19/2016 12:00:00 AM,"Based in the information obtained during the investigation, the caregivers have hit the children in care.",YES,Licensed Center
East Dallas Development Center,2010 SKILLMAN ST  DALLAS TX- 75206 7240,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/07/2017 12:00:00 AM,A staff member was swatting children for not going to sleep.  The caregiver was terminated.,NO,Licensed Center
Xplor,2525 E TRINITY MILLS RD  CARROLLTON TX- 75006 1918,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,12/15/2016 12:00:00 AM,"Based on information obtained, a caregiver physically disciplined a child in care.",YES,Licensed Center
Beautiful Minds Learning Center,100 OBLATE  SAN JUAN TX- 78589,HIDALGO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/23/2016 12:00:00 AM,A caregiver was observed to use inappropriate discipline  in a classroom. Caregiver was observed grabbing a child by the arm while pushing another child on the back causing child to bump cheek onto a children's table.,YES,Licensed Center
ST Johns Lutheran Child Care,409 W BEN WHITE BLVD  AUSTIN TX- 78704 7027,TRAVIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/29/2016 12:00:00 AM,During an investigation it was verified that a caregiver used inappropriate forms of discipline on children at the operation.,YES,Licensed Center
Methodist Childrens Center of Athens First United Methodist,225 LOVERS LN  ATHENS TX- 75751 2912,HENDERSON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/02/2017 12:00:00 AM,A caregiver hit a child with her hand.,NO,Licensed Center
Methodist Childrens Center of Athens First United Methodist,225 LOVERS LN  ATHENS TX- 75751 2912,HENDERSON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/12/2016 12:00:00 AM,A caregiver hit a child on the shoulder with her hand.,NO,Licensed Center
Methodist Childrens Center of Athens First United Methodist,225 LOVERS LN  ATHENS TX- 75751 2912,HENDERSON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/08/2017 12:00:00 AM,It was found that a caregiver grabbed a child.  The caregiver is no longer employed.,NO,Licensed Center
Childcare Network #244,240 S COLLINS RD  SUNNYVALE TX- 75182 4625,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/16/2016 12:00:00 AM,The caregiver grabbed a child by his arm.,NO,Licensed Center
Childcare Network #244,240 S COLLINS RD  SUNNYVALE TX- 75182 4625,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/15/2017 12:00:00 AM,A caregiver was seen improperly disciplining a 14-month old child by handling the child roughly and putting the child down in their chair in a rough manner.,NO,Licensed Center
Wee Wisdom Pre-School,508 W BLUFF ST  WOODVILLE TX- 75979 5124,TYLER,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/27/2017 12:00:00 AM,"This standard was evaluated regarding a self report received and found to be deficient. Evidence supports a caregiver ""popped"" a child on the hand while changing the child's diaper.   The caregiver admitted to the incident and is no longer employed at the operation. Director has provided additional training to caregivers regarding discipline techniques.",NO,Licensed Center
"The Gardner Preparatory School II, LLC",100 N HOUSTON SCHOOL RD  LANCASTER TX- 75146 1906,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",03/01/2017 12:00:00 AM,"Based on information obtained, a caregiver used prohibited discipline methods to discipline children in care.",NO,Licensed Center
"The Gardner Preparatory School II, LLC",100 N HOUSTON SCHOOL RD  LANCASTER TX- 75146 1906,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/18/2016 12:00:00 AM,The caregiver was hitting several childrenin their hands with a thin wooden stick.,YES,Licensed Center
My King's Kids Academy,6255 WICHITA ST  FOREST HILL TX- 76119 6658,TARRANT,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",10/21/2016 12:00:00 AM,This standard was evaluated as the result of a report that was called in and was found to be deficient.,NO,Licensed Center
KidCare Learning Academy,12125 HIGHWAY 6 STE C FRESNO TX- 77545 8844,FORT BEND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/19/2017 12:00:00 AM,The caregiver in the pre-k classroom was observed forcing a three year old child to move from one side of the room to another by holding the child on the arm between the shoulder and elbow. The child fell on the floor and the caregiver lifted the child using the same hold and continued walking.,YES,Licensed Center
GPISD Becker Early Head Start,1908 2ND ST  GALENA PARK TX- 77547 3218,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/30/2016 12:00:00 AM,"Based on information collected during the investigation, a caregiver slapped a child as a punishment for cursing.",NO,Licensed Center
Bear Creek Childrens Center,101 E BEAR CREEK RD  GLENN HEIGHTS TX- 75154 8201,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",03/10/2016 12:00:00 AM,This standard was reviewed due to an investigation and was found to be deficient. Caregivers are squeezing the children faces when they get in trouble.,YES,Licensed Center
Wylie Baptist Church CDC,6097 BUFFALO GAP RD  ABILENE TX- 79606 4905,TAYLOR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/13/2017 12:00:00 AM,A caregiver used prohibited punishment to a child in care.,YES,Licensed Center
Sunshine Learning Academy,711 S LOVERS LN  GATESVILLE TX- 76528 2527,CORYELL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/18/2016 12:00:00 AM,Based on information obtained from interviews it was found a caregiver used prohibited discipline with a child in care when the child was grabbed by the arm.,YES,Licensed Center
Sunshine Learning Academy,711 S LOVERS LN  GATESVILLE TX- 76528 2527,CORYELL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/21/2017 12:00:00 AM,It was determined through interviews of staff and children that a child was inappropriately disciplined while in care at the operation.,YES,Licensed Center
Sunshine Learning Academy,711 S LOVERS LN  GATESVILLE TX- 76528 2527,CORYELL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/21/2017 12:00:00 AM,During an investigation it was found that children were placed in timeout and the caregiver would position her body in front of the children in a manner that was intended to prevent them from getting up.  A caregiver was also observed forcefully grabbing a child by the bicep area.  The operation notified licensing of this concern.,YES,Licensed Center
Elite Playcare,2023 PLANTATION DR  CONROE TX- 77301 1028,MONTGOMERY,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/08/2017 12:00:00 AM,School age children were required to run laps around the playground for misbehaving.,NO,Licensed Center
The Learning Zone,704 N TWIN CREEK DR  KILLEEN TX- 76543 4235,BELL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/26/2016 12:00:00 AM,Based on information obtained during the investigation it was determined a caregiver used inappropriate discipline method with a child while in care.,YES,Licensed Center
A Place For Children Too Inc.,12319 BELLAIRE BLVD STE 700 HOUSTON TX- 77072 2595,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/22/2016 12:00:00 AM,"Based on information obtained during Investigation, there is sufficient information to indicate that caregivers at operation are using a stick-like instrument to hit children when they are not listening or behaving.",NO,Licensed Center
A Place For Children Too Inc.,12319 BELLAIRE BLVD STE 700 HOUSTON TX- 77072 2595,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/05/2017 12:00:00 AM,Based on the information obtained a caregiver demonstrated harsh punishment toward a child in which the caregiver lifted the child off of the floor by one arm forcefully; grabbed the child hand and pushed the child on her back as the child walked toward the back of the center.,YES,Licensed Center
Texarkana Special Education Center,6101 N STATE LINE AVE  TEXARKANA TX- 75503 5309,BOWIE,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",10/23/2017 12:00:00 AM,"Prohibited punishment was demonstrated when a caregiver grabbed 3 different students roughly by their arm in an effort to make them do what she wanted them to do. Prohibited punishment was demonstrated when a caregiver grabbed a child, forcefully by his face.",NO,Licensed Center
Brookhaven Head Start Center,3939 VALLEY VIEW LN BLDG E FARMERS BRANCH TX- 75244 4906,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/26/2017 12:00:00 AM,This standard was evaluated as part of an investigation and found to be deficient.  A caregiver physically moved a child to another area of the room by picking the child up by the arms.  The child had broken skin from nails and a scratch on the arm as a result of the caregiver picking the child up.,NO,Licensed Center
Dumas Discovery Center,310 E 1ST ST  DUMAS TX- 79029 2730,MOORE,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/08/2017 12:00:00 AM,A caregiver inappropriately disciplined a child by striking the child on the backside.,NO,Licensed Center
Ms Lorries Learning Center,409 S PEAR ST AND 915 BELL ST  FREDERICKSBURG TX- 78624 4743,GILLESPIE,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/13/2017 12:00:00 AM,It was determined that caregivers can be heard using harsh tones and yelling at the children. Candy is also being given as a type of reward to the children.,YES,Licensed Center
Ms Lorries Learning Center,409 S PEAR ST AND 915 BELL ST  FREDERICKSBURG TX- 78624 4743,GILLESPIE,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",10/03/2017 12:00:00 AM,"Based on information obtained, it was found that the caregiver pinched the child's arms and ears as a form of punishment.",NO,Licensed Center
Little Childrens Learning Center,1314 TURTLE CREEK DR  MISSOURI CITY TX- 77489 6105,FORT BEND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/16/2017 12:00:00 AM,Based on the information gathered during the investigation there is sufficient evidence that a staff person inappropriately disciplined a child in care causing an injury to the child's forehead.    Note:  The staff person was terminated.,NO,Licensed Center
Little Childrens Learning Center,1314 TURTLE CREEK DR  MISSOURI CITY TX- 77489 6105,FORT BEND,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",10/10/2017 12:00:00 AM,Based upon the information obtained caregivers use pinching as a form of discipline.,YES,Licensed Center
"Ms. Roo's Little Critters, LLC",421 W 12TH ST  SHINER TX- 77984 5682,LAVACA,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,09/12/2016 12:00:00 AM,"Based on information gathered, staff engaged in the practice of ""popping"" or ""whoopen"" children",YES,Licensed Center
The Learning Express,617 S VETERANS BLVD  SAN JUAN TX- 78589 3222,HIDALGO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/22/2016 12:00:00 AM,A caregiver was observed using prohibited punishment on a child.,YES,Licensed Center
The Peanut Gallery 301,2151 E ROSEMEADE PKWY  CARROLLTON TX- 75007 2308,DENTON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,10/10/2016 12:00:00 AM,It was determined after the investigation that a child in care was inappropriately discipline by a caregiver who hit the child on the head with a clip board.,NO,Licensed Center
Kids Place Learning Center,1510 N HIGHWAY 175  SEAGOVILLE TX- 75159 2348,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/05/2017 12:00:00 AM,It was determined that the director of the operation used a ruler  to discipline children as a form of punishment,NO,Licensed Center
Children's Lighthouse at WoodCreek,26051 KINGSLAND BLVD  KATY TX- 77494 2667,FORT BEND,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/14/2017 12:00:00 AM,A caregiver used their hand to tap a child on the forearm while verbally disciplining the child.,YES,Licensed Center
Kids Kingdom Learning Center,4105 BROADWAY BLVD  GARLAND TX- 75043 2519,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/02/2017 12:00:00 AM,Caregiver found to be spanking children with hand and belt.,YES,Licensed Center
Burning Bush Academy,4943 BONNIE VIEW RD  DALLAS TX- 75241 1602,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/01/2016 12:00:00 AM,During interviews conducted for the investigation the caregiver admitted to using physical discipline with her own children in care at the operation.,YES,Licensed Center
Burning Bush Academy,4943 BONNIE VIEW RD  DALLAS TX- 75241 1602,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/24/2017 12:00:00 AM,Based on the information gathered during the investigation it was determined that staff of the operation hit children in care.,YES,Licensed Center
Burning Bush Academy,4943 BONNIE VIEW RD  DALLAS TX- 75241 1602,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",04/24/2017 12:00:00 AM,Based on the information gathered during the investigation it was determined that staff of the operation pinch children in care.,YES,Licensed Center
Texans Learning Center,1431 E SAM HOUSTON PKWY S  PASADENA TX- 77503 2313,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",01/09/2018 12:00:00 AM,The afterschool caregiver/bus driver was observed swatting her clipboard at a child when unloading the van. The same caregiver was also overheard utilizing an inappropriate tone with a child while in the operation.,YES,Licensed Center
Xplor- W Rayford,8615 W RAYFORD RD  SPRING TX- 77389 4867,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/07/2016 12:00:00 AM,"It was found that an employee flicked a child in the mouth, after the child bit another student.",YES,Licensed Center
Dunkin Academy of Forney,518 PINSON RD  FORNEY TX- 75126 9591,KAUFMAN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/04/2017 12:00:00 AM,A caregiver used inappropriate discipline by hitting children to redirect their behavior.,YES,Licensed Center
All Day Child Care,15371 BEN WIGGINS RD  CONROE TX- 77303 4805,MONTGOMERY,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/11/2016 12:00:00 AM,Based on the information gathered a employee hit a child on their bottom with a shoe.  Note: The employee was terminated.,NO,Licensed Center
The Toddlers Den Childcare Center,7405 JOHN T WHITE RD  FORT WORTH TX- 76120 3309,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/14/2016 12:00:00 AM,This standard was evaluated during an investigation and found to be deficient. A caregiver used prohibited punishment with children in care.,YES,Licensed Center
Crossroads Christian Academy,5834 RAY ELLISON BLVD  SAN ANTONIO TX- 78242 2029,BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/26/2017 12:00:00 AM,"Based on the information obtained, spanking is a form of discipline used in the classroom.",YES,Licensed Center
YWCA Rogers Early Learning Academy,1600 BROWN ST  EL PASO TX- 79902 4725,EL PASO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/05/2016 12:00:00 AM,There is a preponderance of evidence that a child was harshly treated by a day care employee.,YES,Licensed Center
StarBrite Learning Center,24922 TOMBALL PKWY STE 118 TOMBALL TX- 77375 7872,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,09/02/2016 12:00:00 AM,A caregiver at the operation slapped a child in the face.,YES,Licensed Center
Dominion Lifestyle Academy,14030 BEECHNUT ST  HOUSTON TX- 77083 6609,HARRIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",03/23/2016 12:00:00 AM,It was discovered that a caregiver pulls the ears of children when they get into trouble.,YES,Licensed Center
Watch Me Grow Learning Center,3844 S DAIRY ASHFORD RD  HOUSTON TX- 77082 5609,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/09/2016 12:00:00 AM,The director observed a caregiver hitting a child on their back.    Caregiver is no longer employed at the operation.,YES,Licensed Center
Wonderland Day Care Center,1225 N VETERANS BLVD STE E PHARR TX- 78577 1922,HIDALGO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/19/2017 12:00:00 AM,"Based on the information gathered during this investigation, it was determined that a child was being held by the forearm by a caregiver and marks were left on the child's arm when the child threw himself on the floor. Information obtained during the investigation indicated that child had sustained markings on his forearm more than one instance while in care at the operation.",YES,Licensed Center
Handprints Child Care,2805 PEAVY RD  DALLAS TX- 75228 4772,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,09/13/2016 12:00:00 AM,A staff member spanked a child.,NO,Licensed Center
Handprints Child Care,2805 PEAVY RD  DALLAS TX- 75228 4772,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/08/2017 12:00:00 AM,A staff member hit a child on the head with her hand.,NO,Licensed Center
"Rainbow Academy, Inc",2227 CHEYENNE ST  IRVING TX- 75062 7264,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",06/08/2016 12:00:00 AM,This standard was evaluated and there was evidence through interviews that a caregiver was holding or tapping children in an inappropriate manner. The caregiver was terminated.,NO,Licensed Center
"Rainbow Academy, Inc",2227 CHEYENNE ST  IRVING TX- 75062 7264,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/04/2016 12:00:00 AM,A toddler teacher was observed taking a diaper out of a child's hand and hitting the child on the head 3 times.,NO,Licensed Center
Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,12/22/2016 12:00:00 AM,The operation had a caregiver that used prohibited methods of punishment on a infant in care. The caregiver was terminated immediately and no longer works at the operation.,NO,Licensed Center
Trinity Lutheran Preschool,1530 E WASHINGTON AVE  NAVASOTA TX- 77868 3243,GRIMES,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",12/13/2016 12:00:00 AM,One caregiver routinely grabs children by the arm when reprimanding children and placing them in time out.,YES,Licensed Center
Children's Learning Adventure Child CareCenter,5151 S CUSTER RD  MCKINNEY TX- 75070 3160,COLLIN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/29/2017 12:00:00 AM,Based on preponderance of evidence gathered during the course of the investigation it was determined that a caregiver is smacking children on the hand and grabbing children by the arm as a form of discipline and guidance.,YES,Licensed Center
Kinder Care Learning Center,5801 WATAUGA RD  WATAUGA TX- 76148 3070,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,12/07/2016 12:00:00 AM,"Based on interviews with children and staff, it was determined that a caregiver slapped a child after the child kicked the caregiver. The slap was not sufficient enough to leave a mark. The caregiver stated that she may have accidentally touched the child's face while trying to grab the child's arm, but it was not a slap. The caregiver was suspended.",NO,Licensed Center
Socorro Gonzales Head Start,2525 LUCAS DR  DALLAS TX- 75219 1804,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",02/27/2017 12:00:00 AM,A caregiver pulled a child by the arm.,YES,Licensed Center
Bo-Peep Learning Center,8680 GUILBEAU RD  SAN ANTONIO TX- 78250 2644,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",10/16/2017 12:00:00 AM,Surveillance video showed a caregiver in the 3 year old classroom picking a child up by the arm while child was sitting down on the chair and pulling the child to the side.     Same caregiver was seen forcefully sitting a child on the chair that caused the child to start crying and touching it's back.,YES,Licensed Center
Where Kidz Connect Academy,513 STRAUS RD  CEDAR HILL TX- 75104 2098,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,09/14/2016 12:00:00 AM,"Based on the information gathered during the investigation, a caregiver at the operation is spanking children who do not want to take naps. According to the minimum standards, this is a form of prohibited punishment.",NO,Licensed Center
A Garden For Children Child Dev. Center,840 NORTH BLVD  UNIVERSAL CITY TX- 78148 3911,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/16/2017 12:00:00 AM,"Through information obtained during the investigation inspection it was determined that a caregiver used inappropriate punishments such as pinching, pulling of ears, and scratching children's arms.",YES,Licensed Center
